lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
snowshoe,snowshoe,snowshoes,a snowshoe,are a type of,snowshoes are daxable.,snowshoes have daxes.,p,
hovercraft,hovercraft,hovercrafts,a hovercraft,are a type of,hovercrafts are daxable.,hovercrafts have daxes.,p,
cannonball,cannonball,cannonballs,a cannonball,are a type of,cannonballs are daxable.,cannonballs have daxes.,p,
pomegranate,pomegranate,pomegranates,a pomegranate,are a type of,pomegranates are daxable.,pomegranates have daxes.,p,
whoopee cushion,whoopee cushion,whoopee cushions,a whoopee cushion,are a type of,whoopee cushions are daxable.,whoopee cushions have daxes.,p,
stereo,stereo,stereos,a stereo,are a type of,stereos are daxable.,stereos have daxes.,p,
gasket,gasket,gaskets,a gasket,are a type of,gaskets are daxable.,gaskets have daxes.,p,
cheese,cheese,cheeses,a cheese,are a type of,cheeses are daxable.,cheeses have daxes.,p,
kimono,kimono,kimonos,a kimono,are a type of,kimonos are daxable.,kimonos have daxes.,p,
potato,potato,potatoes,a potato,are a type of,potatoes are daxable.,potatoes have daxes.,p,
yak,yak,yaks,a yak,are a type of,yaks are daxable.,yaks have daxes.,p,
casserole,casserole,casseroles,a casserole,are a type of,casseroles are daxable.,casseroles have daxes.,p,
anvil,anvil,anvils,an anvil,are a type of,anvils are daxable.,anvils have daxes.,p,
cereal,cereal,cereals,a cereal,are a type of,cereals are daxable.,cereals have daxes.,p,
licorice,licorice,licorices,licorice,is a type of,licorice is daxable.,licorice has daxes.,s,
crib,crib,cribs,a crib,are a type of,cribs are daxable.,cribs have daxes.,p,1
wheelbarrow,wheelbarrow,wheelbarrows,a wheelbarrow,are a type of,wheelbarrows are daxable.,wheelbarrows have daxes.,p,
jump rope,jump rope,jump ropes,a jump rope,are a type of,jump ropes are daxable.,jump ropes have daxes.,p,
kayak,kayak,kayaks,a kayak,are a type of,kayaks are daxable.,kayaks have daxes.,p,
plug,plug,plugs,a plug,are a type of,plugs are daxable.,plugs have daxes.,p,1
gun,gun,guns,a gun,are a type of,guns are daxable.,guns have daxes.,p,
bagpipe,bagpipe,bagpipes,a bagpipe,are a type of,bagpipes are daxable.,bagpipes have daxes.,p,
counter,counter,counters,a counter,are a type of,counters are daxable.,counters have daxes.,p,1
t-shirt,t-shirt,t-shirts,a t-shirt,are a type of,t-shirts are daxable.,t-shirts have daxes.,p,
crumb,crumb,crumbs,a crumb,are a type of,crumbs are daxable.,crumbs have daxes.,p,1
magnifying glass,magnifying glass,magnifying glasses,a magnifying glass,are a type of,magnifying glasses are daxable.,magnifying glasses have daxes.,p,
snowplow,snowplow,snowplows,a snowplow,are a type of,snowplows are daxable.,snowplows have daxes.,p,
sawhorse,sawhorse,sawhorses,a sawhorse,are a type of,sawhorses are daxable.,sawhorses have daxes.,p,
piglet,piglet,piglets,a piglet,are a type of,piglets are daxable.,piglets have daxes.,p,
nightshirt,nightshirt,nightshirts,a nightshirt,are a type of,nightshirts are daxable.,nightshirts have daxes.,p,
dice,dice,dices,a dice,are a type of,dices are daxable.,dices have daxes.,p,
fudge,fudge,fudges,a fudge,are a type of,fudges are daxable.,fudges have daxes.,p,1
footrest,footrest,footrests,a footrest,are a type of,footrests are daxable.,footrests have daxes.,p,
hourglass,hourglass,hourglasses,an hourglass,are a type of,hourglasses are daxable.,hourglasses have daxes.,p,
praying mantis,praying mantis,praying mantises,a praying mantis,are a type of,praying mantises are daxable.,praying mantises have daxes.,p,
slot machine,slot machine,slot machines,a slot machine,are a type of,slot machines are daxable.,slot machines have daxes.,p,
crouton,crouton,croutons,a crouton,are a type of,croutons are daxable.,croutons have daxes.,p,
valve,valve,valves,a valve,are a type of,valves are daxable.,valves have daxes.,p,
polygraph,polygraph,polygraphs,a polygraph,are a type of,polygraphs are daxable.,polygraphs have daxes.,p,
stethoscope,stethoscope,stethoscopes,a stethoscope,are a type of,stethoscopes are daxable.,stethoscopes have daxes.,p,
projector,projector,projectors,a projector,are a type of,projectors are daxable.,projectors have daxes.,p,
plunger,plunger,plungers,a plunger,are a type of,plungers are daxable.,plungers have daxes.,p,
tortilla,tortilla,tortillas,a tortilla,are a type of,tortillas are daxable.,tortillas have daxes.,p,
coffee,coffee,coffees,coffee,is a type of,coffee is daxable.,coffee has daxes.,s,
chicken,chicken,chickens,a chicken,is a type of,a chicken is daxable.,a chicken has daxes.,s,
suspenders,suspenders,suspenders,a suspenders,are a type of,suspenders are daxable.,suspenders have daxes.,p,
wagon,wagon,wagons,a wagon,are a type of,wagons are daxable.,wagons have daxes.,p,
scone,scone,scones,a scone,are a type of,scones are daxable.,scones have daxes.,p,
loveseat,loveseat,loveseats,a loveseat,are a type of,loveseats are daxable.,loveseats have daxes.,p,
polar bear,polar bear,polar bears,a polar bear,are a type of,polar bears are daxable.,polar bears have daxes.,p,
coffee table,coffee table,coffee tables,a coffee table,are a type of,coffee tables are daxable.,coffee tables have daxes.,p,
artichoke,artichoke,artichokes,an artichoke,are a type of,artichokes are daxable.,artichokes have daxes.,p,
tick,tick,ticks,a tick,are a type of,ticks are daxable.,ticks have daxes.,p,
rocking chair,rocking chair,rocking chairs,a rocking chair,are a type of,rocking chairs are daxable.,rocking chairs have daxes.,p,
gavel,gavel,gavels,a gavel,are a type of,gavels are daxable.,gavels have daxes.,p,
dresser,dresser,dressers,a dresser,are a type of,dressers are daxable.,dressers have daxes.,p,
washing machine,washing machine,washing machines,a washing machine,are a type of,washing machines are daxable.,washing machines have daxes.,p,
jeans,jeans,jeans,a jeans,are a type of,jeans are daxable.,jeans have daxes.,p,
urn,urn,urns,an urn,are a type of,urns are daxable.,urns have daxes.,p,
cart,cart,carts,a cart,are a type of,carts are daxable.,carts have daxes.,p,
hot-water bottle,hot-water bottle,hot-water bottles,a hot-water bottle,are a type of,hot-water bottles are daxable.,hot-water bottles have daxes.,p,
cordon bleu,cordon bleu sandwich,cordon bleu sandwiches,a cordon bleu sandwich,are a type of,cordon bleu sandwiches are daxable.,cordon bleu sandwiches have daxes.,p,
produce,produce,produce,produce,is a type of,produce is daxable.,produce has daxes.,s,
rattlesnake,rattlesnake,rattlesnakes,a rattlesnake,are a type of,rattlesnakes are daxable.,rattlesnakes have daxes.,p,
apple tree,apple tree,apple trees,an apple tree,are a type of,apple trees are daxable.,apple trees have daxes.,p,
tweezers,tweezers,tweezers,a tweezer,are a type of,tweezers are daxable.,tweezers have daxes.,p,
granola,granola,granola,granola,is a type of,granola is daxable.,granola has daxes.,s,
popsicle,popsicle,popsicles,a popsicle,are a type of,popsicles are daxable.,popsicles have daxes.,p,
throne,throne,thrones,a throne,are a type of,thrones are daxable.,thrones have daxes.,p,
turtleneck,turtleneck,turtlenecks,a turtleneck,are a type of,turtlenecks are daxable.,turtlenecks have daxes.,p,
knot,knot,knots,a knot,are a type of,knots are daxable.,knots have daxes.,p,
perfume,perfume,perfumes,a perfume,are a type of,perfumes are daxable.,perfumes have daxes.,p,
xylophone,xylophone,xylophones,a xylophone,are a type of,xylophones are daxable.,xylophones have daxes.,p,
quiche,quiche,quiches,a quiche,are a type of,quiches are daxable.,quiches have daxes.,p,
boar,boar,boars,a boar,are a type of,boars are daxable.,boars have daxes.,p,
wineglass,wineglass,wineglasses,a wineglass,are a type of,wineglasses are daxable.,wineglasses have daxes.,p,
buffet,buffet,buffets,a buffet,are a type of,buffets are daxable.,buffets have daxes.,p,
turkey,turkey,turkeys,a turkey,are a type of,turkeys are daxable.,turkeys have daxes.,p,
face mask,face mask,face masks,a face mask,are a type of,face masks are daxable.,face masks have daxes.,p,
taxi,taxi,taxis,a taxi,are a type of,taxis are daxable.,taxis have daxes.,p,
toaster oven,toaster oven,toaster ovens,a toaster oven,are a type of,toaster ovens are daxable.,toaster ovens have daxes.,p,
furniture,furniture,furniture,furniture,is a type of,furniture is daxable.,furniture has daxes.,s,
sausage,sausage,sausages,a sausage,are a type of,sausages are daxable.,sausages have daxes.,p,
air conditioner,air conditioner,air conditioners,an air conditioner,are a type of,air conditioners are daxable.,air conditioners have daxes.,p,
tree,tree,trees,a tree,are a type of,trees are daxable.,trees have daxes.,p,
tie,tie,ties,a tie,are a type of,ties are daxable.,ties have daxes.,p,
salami,salami,salami,salami,is a type of,salami is daxable.,salami has daxes.,s,
floss,floss,flosses,a floss,are a type of,flosses are daxable.,flosses have daxes.,p,
minivan,minivan,minivans,a minivan,are a type of,minivans are daxable.,minivans have daxes.,p,
lemon,lemon,lemons,a lemon,are a type of,lemons are daxable.,lemons have daxes.,p,
auto part,auto part,auto parts,an auto part,are a type of,auto parts are daxable.,auto parts have daxes.,p,
artifact,artifact,artifacts,an artifact,are a type of,artifacts are daxable.,artifacts have daxes.,p,
home appliance,home appliance,home appliances,a home appliance,are a type of,home appliances are daxable.,home appliances have daxes.,p,
backgammon,backgammon,backgammon,backgammon,is a type of,backgammon is daxable.,backgammon has daxes.,s,
hairnet,hairnet,hairnets,a hairnet,are a type of,hairnets are daxable.,hairnets have daxes.,p,
eyedropper,eyedropper,eyedroppers,an eyedropper,are a type of,eyedroppers are daxable.,eyedroppers have daxes.,p,
bolt,bolt,bolts,a bolt,are a type of,bolts are daxable.,bolts have daxes.,p,
lampshade,lampshade,lampshades,a lampshade,are a type of,lampshades are daxable.,lampshades have daxes.,p,
vest,vest,vests,a vest,are a type of,vests are daxable.,vests have daxes.,p,
water filter,water filter,water filters,a water filter,are a type of,water filters are daxable.,water filters have daxes.,p,
frame,frame,frames,a frame,are a type of,frames are daxable.,frames have daxes.,p,
recorder,recorder,recorders,a recorder,are a type of,recorders are daxable.,recorders have daxes.,p,
pine tree,pine tree,pine trees,a pine tree,are a type of,pine trees are daxable.,pine trees have daxes.,p,
gyroscope,gyroscope,gyroscopes,a gyroscope,are a type of,gyroscopes are daxable.,gyroscopes have daxes.,p,
pizza,pizza,pizzas,a pizza,are a type of,pizzas are daxable.,pizzas have daxes.,p,
bedpan,bedpan,bedpans,a bedpan,are a type of,bedpans are daxable.,bedpans have daxes.,p,
bird,bird,birds,a bird,are a type of,birds are daxable.,birds have daxes.,p,
moccasin,moccasin,moccasins,a moccasin,are a type of,moccasins are daxable.,moccasins have daxes.,p,
swordfish,swordfish,swordfish,a swordfish,are a type of,swordfish are daxable.,swordfish have daxes.,p,
bonnet,bonnet,bonnets,a bonnet,are a type of,bonnets are daxable.,bonnets have daxes.,p,
wrap,wrap,wraps,a wrap,is a type of,a wrap is daxable.,a wrap has daxes.,s,
activity,activity,activities,an activity,are a type of,activities are daxable.,activities have daxes.,p,
birdbath,birdbath,birdbaths,a birdbath,are a type of,birdbaths are daxable.,birdbaths have daxes.,p,
toad,toad,toads,a toad,are a type of,toads are daxable.,toads have daxes.,p,
handkerchief,handkerchief,handkerchiefs,a handkerchief,are a type of,handkerchiefs are daxable.,handkerchiefs have daxes.,p,
forklift,forklift,forklifts,a forklift,are a type of,forklifts are daxable.,forklifts have daxes.,p,
pretzel,pretzel,pretzels,a pretzel,are a type of,pretzels are daxable.,pretzels have daxes.,p,
highchair,highchair,highchairs,a highchair,are a type of,highchairs are daxable.,highchairs have daxes.,p,
needle,needle,needles,a needle,are a type of,needles are daxable.,needles have daxes.,p,
toothpick,toothpick,toothpicks,a toothpick,are a type of,toothpicks are daxable.,toothpicks have daxes.,p,
nightstand,nightstand,nightstands,a nightstand,are a type of,nightstands are daxable.,nightstands have daxes.,p,
bathrobe,bathrobe,bathrobes,a bathrobe,are a type of,bathrobes are daxable.,bathrobes have daxes.,p,
frog,frog,frogs,a frog,are a type of,frogs are daxable.,frogs have daxes.,p,
revolver,revolver,revolvers,a revolver,are a type of,revolvers are daxable.,revolvers have daxes.,p,
kebab,kebab,kebabs,a kebab,are a type of,kebabs are daxable.,kebabs have daxes.,p,
skewer,skewer,skewers,a skewer,are a type of,skewers are daxable.,skewers have daxes.,p,
lamp,lamp,lamps,a lamp,are a type of,lamps are daxable.,lamps have daxes.,p,
crystal ball,crystal ball,crystal balls,a crystal ball,are a type of,crystal balls are daxable.,crystal balls have daxes.,p,
curling iron,curling iron,curling irons,a curling iron,are a type of,curling irons are daxable.,curling irons have daxes.,p,
daisy,daisy,daisies,a daisy,are a type of,daisies are daxable.,daisies have daxes.,p,
turban,turban,turbans,a turban,are a type of,turbans are daxable.,turbans have daxes.,p,
monkey,monkey,monkeys,a monkey,are a type of,monkeys are daxable.,monkeys have daxes.,p,
ambulance,ambulance,ambulances,an ambulance,are a type of,ambulances are daxable.,ambulances have daxes.,p,
desk,desk,desks,a desk,are a type of,desks are daxable.,desks have daxes.,p,
firetruck,firetruck,firetrucks,a firetruck,are a type of,firetrucks are daxable.,firetrucks have daxes.,p,
snowmobile,snowmobile,snowmobiles,a snowmobile,are a type of,snowmobiles are daxable.,snowmobiles have daxes.,p,
sandal,sandal,sandals,a sandal,are a type of,sandals are daxable.,sandals have daxes.,p,
comb,comb,combs,a comb,are a type of,combs are daxable.,combs have daxes.,p,
van,van,vans,a van,are a type of,vans are daxable.,vans have daxes.,p,
bra,bra,bras,a bra,are a type of,bras are daxable.,bras have daxes.,p,
headband,headband,headbands,a headband,are a type of,headbands are daxable.,headbands have daxes.,p,
musical instrument,musical instrument,musical instruments,a musical instrument,are a type of,musical instruments are daxable.,musical instruments have daxes.,p,
trombone,trombone,trombones,a trombone,are a type of,trombones are daxable.,trombones have daxes.,p,
ink,ink,inks,ink,is a type of,ink is daxable.,ink has daxes.,s,
hedge,hedge,hedges,a hedge,are a type of,hedges are daxable.,hedges have daxes.,p,
olive,olive,olives,an olive,are a type of,olives are daxable.,olives have daxes.,p,
scallop,scallop,scallops,a scallop,are a type of,scallops are daxable.,scallops have daxes.,p,
button,button,buttons,a button,are a type of,buttons are daxable.,buttons have daxes.,p,
joystick,joystick,joysticks,a joystick,are a type of,joysticks are daxable.,joysticks have daxes.,p,
badger,badger,badgers,a badger,are a type of,badgers are daxable.,badgers have daxes.,p,
boxer shorts,boxer shorts,boxer shorts,a boxer shorts,are a type of,boxer shorts are daxable.,boxer shorts have daxes.,p,
honey,honey,honeys,honey,is a type of,honey is daxable.,honey has daxes.,s,
flask,flask,flasks,a flask,are a type of,flasks are daxable.,flasks have daxes.,p,
flour,flour,flours,flour,is a type of,flour is daxable.,flour has daxes.,s,
garbage truck,garbage truck,garbage trucks,a garbage truck,are a type of,garbage trucks are daxable.,garbage trucks have daxes.,p,
bulletproof vest,bulletproof vest,bulletproof vests,a bulletproof vest,are a type of,bulletproof vests are daxable.,bulletproof vests have daxes.,p,
kangaroo,kangaroo,kangaroos,a kangaroo,are a type of,kangaroos are daxable.,kangaroos have daxes.,p,
wire cutters,wire cutter,wire cutters,a wire cutter,are a type of,wire cutters are daxable.,wire cutters have daxes.,p,
webcam,webcam,webcams,a webcam,are a type of,webcams are daxable.,webcams have daxes.,p,
sunflower,sunflower,sunflowers,a sunflower,are a type of,sunflowers are daxable.,sunflowers have daxes.,p,
food,food,foods,food,is a type of,food is daxable.,food has daxes.,s,
tricycle,tricycle,tricycles,a tricycle,are a type of,tricycles are daxable.,tricycles have daxes.,p,
tomato sauce,tomato sauce,tomato sauces,tomato sauce,is a type of,tomato sauce is daxable.,tomato sauce has daxes.,s,
purse,purse,purses,a purse,are a type of,purses are daxable.,purses have daxes.,p,
duck,duck,ducks,a duck,are a type of,ducks are daxable.,ducks have daxes.,p,
television,television,televisions,a television,are a type of,televisions are daxable.,televisions have daxes.,p,
fondue,fondue,fondues,a fondue,are a type of,fondues are daxable.,fondues have daxes.,p,
platypus,platypus,platypuses,a platypus,are a type of,platypuses are daxable.,platypuses have daxes.,p,
pillbox,pillbox,pillboxes,a pillbox,are a type of,pillboxes are daxable.,pillboxes have daxes.,p,
fork,fork,forks,a fork,are a type of,forks are daxable.,forks have daxes.,p,
cake mix,cake mix,cake mixes,a cake mix,are a type of,cake mixes are daxable.,cake mixes have daxes.,p,
tape measure,tape measure,tape measures,a tape measure,are a type of,tape measures are daxable.,tape measures have daxes.,p,
electronic device,electronic device,electronic devices,an electronic device,are a type of,electronic devices are daxable.,electronic devices have daxes.,p,
go-kart,go-kart,go-karts,a go-kart,are a type of,go-karts are daxable.,go-karts have daxes.,p,
dog,dog,dogs,a dog,are a type of,dogs are daxable.,dogs have daxes.,p,
peach,peach,peaches,a peach,are a type of,peaches are daxable.,peaches have daxes.,p,
puppet,puppet,puppets,a puppet,are a type of,puppets are daxable.,puppets have daxes.,p,
onion,onion,onions,an onion,are a type of,onions are daxable.,onions have daxes.,p,
container,container,containers,a container,are a type of,containers are daxable.,containers have daxes.,p,
food product,food product,food products,a food product,are a type of,food products are daxable.,food products have daxes.,p,
smoke alarm,smoke alarm,smoke alarms,a smoke alarm,are a type of,smoke alarms are daxable.,smoke alarms have daxes.,p,
gondola,gondola,gondolas,a gondola,are a type of,gondolas are daxable.,gondolas have daxes.,p,
pea,pea,peas,a pea,are a type of,peas are daxable.,peas have daxes.,p,
garter,garter,garters,a garter,are a type of,garters are daxable.,garters have daxes.,p,1
egg,egg,eggs,an egg,are a type of,eggs are daxable.,eggs have daxes.,p,
rocking horse,rocking horse,rocking horses,a rocking horse,are a type of,rocking horses are daxable.,rocking horses have daxes.,p,
icemaker,icemaker,icemakers,an icemaker,are a type of,icemakers are daxable.,icemakers have daxes.,p,
belt,belt,belts,a belt,are a type of,belts are daxable.,belts have daxes.,p,
rickshaw,rickshaw,rickshaws,a rickshaw,are a type of,rickshaws are daxable.,rickshaws have daxes.,p,
bassinet,bassinet,bassinets,a bassinet,are a type of,bassinets are daxable.,bassinets have daxes.,p,
headdress,headdress,headdresses,a headdress,are a type of,headdresses are daxable.,headdresses have daxes.,p,
chain,chain,chains,a chain,are a type of,chains are daxable.,chains have daxes.,p,
orchid,orchid,orchids,an orchid,are a type of,orchids are daxable.,orchids have daxes.,p,
jetski,jetski,jetskis,a jetski,are a type of,jetskis are daxable.,jetskis have daxes.,p,
whip,whip,whips,a whip,are a type of,whips are daxable.,whips have daxes.,p,
grenade,grenade,grenades,a grenade,are a type of,grenades are daxable.,grenades have daxes.,p,
ticktacktoe,tick-tack-toe,ticktacktoes,tick-tack-toe,is a type of,tick-tack-toe is daxable.,tick-tack-toe has daxes.,s,
water vehicle,water vehicle,water vehicles,a water vehicle,are a type of,water vehicles are daxable.,water vehicles have daxes.,p,
llama,llama,llamas,a llama,are a type of,llamas are daxable.,llamas have daxes.,p,
storage,storage,storages,storage,is a type of,storage is daxable.,storage has daxes.,s,
grape,grape,grapes,a grape,are a type of,grapes are daxable.,grapes have daxes.,p,
easter egg,easter egg,easter eggs,an easter egg,are a type of,easter eggs are daxable.,easter eggs have daxes.,p,
chihuahua,chihuahua,chihuahuas,a chihuahua,are a type of,chihuahuas are daxable.,chihuahuas have daxes.,p,
sock,sock,socks,a sock,are a type of,socks are daxable.,socks have daxes.,p,
diaper,diaper,diapers,a diaper,are a type of,diapers are daxable.,diapers have daxes.,p,
spaghetti,spaghetti,spaghettis,spaghetti,is a type of,spaghetti is daxable.,spaghetti has daxes.,s,
tiramisu,tiramisu,tiramisus,tiramisu,is a type of,tiramisu is daxable.,tiramisu has daxes.,s,
clothing,clothing,clothing,clothing,is a type of,clothing is daxable.,clothing has daxes.,s,
bomb,bomb,bombs,a bomb,are a type of,bombs are daxable.,bombs have daxes.,p,
beanbag,beanbag,beanbags,a beanbag,are a type of,beanbags are daxable.,beanbags have daxes.,p,
hammock,hammock,hammocks,a hammock,are a type of,hammocks are daxable.,hammocks have daxes.,p,
lawnmower,lawnmower,lawnmowers,a lawnmower,are a type of,lawnmowers are daxable.,lawnmowers have daxes.,p,
cilantro,cilantro,cilantros,cilantro,is a type of,cilantro is daxable.,cilantro has daxes.,s,
glasses,glasses,glasses,glasses,are a type of,glasses are daxable.,glasses have daxes.,p,
cockatoo,cockatoo,cockatoos,a cockatoo,are a type of,cockatoos are daxable.,cockatoos have daxes.,p,
kaleidoscope,kaleidoscope,kaleidoscopes,a kaleidoscope,are a type of,kaleidoscopes are daxable.,kaleidoscopes have daxes.,p,
paper bag,paper bag,paper bags,a paper bag,are a type of,paper bags are daxable.,paper bags have daxes.,p,
subway,subway,subways,a subway,are a type of,subways are daxable.,subways have daxes.,p,
calf,calf,calves,a calf,are a type of,calves are daxable.,calves have daxes.,p,
keg,keg,kegs,a keg,are a type of,kegs are daxable.,kegs have daxes.,p,
coop,coop,coops,a coop,are a type of,coops are daxable.,coops have daxes.,p,
lamb,lamb,lambs,a lamb,are a type of,lambs are daxable.,lambs have daxes.,p,
reindeer,reindeer,reindeers,a reindeer,are a type of,reindeers are daxable.,reindeers have daxes.,p,
sheep,sheep,sheeps,a sheep,are a type of,sheeps are daxable.,sheeps have daxes.,p,
zucchini,zucchini,zucchinis,zucchini,is a type of,zucchini is daxable.,zucchini has daxes.,s,
chili,chili,chilies,a chili,are a type of,chilies are daxable.,chilies have daxes.,p,
rug,rug,rugs,a rug,are a type of,rugs are daxable.,rugs have daxes.,p,
candy cane,candy cane,candy canes,a candy cane,are a type of,candy canes are daxable.,candy canes have daxes.,p,
teapot,teapot,teapots,a teapot,are a type of,teapots are daxable.,teapots have daxes.,p,
light switch,light switch,light switches,a light switch,are a type of,light switches are daxable.,light switches have daxes.,p,
corn,corn,corns,corn,is a type of,corn is daxable.,corn has daxes.,s,
submarine,submarine,submarines,a submarine,are a type of,submarines are daxable.,submarines have daxes.,p,
stretcher,stretcher,stretchers,a stretcher,are a type of,stretchers are daxable.,stretchers have daxes.,p,
appetizer,appetizer,appetizers,an appetizer,are a type of,appetizers are daxable.,appetizers have daxes.,p,
stuffing,stuffing,stuffings,stuffing,is a type of,stuffing is daxable.,stuffing has daxes.,s,
bowtie,bowtie,bowties,a bowtie,are a type of,bowties are daxable.,bowties have daxes.,p,
cup,cup,cups,a cup,are a type of,cups are daxable.,cups have daxes.,p,
fruit,fruit,fruits,a fruit,are a type of,fruits are daxable.,fruits have daxes.,p,
piggy bank,piggy bank,piggy banks,a piggy bank,are a type of,piggy banks are daxable.,piggy banks have daxes.,p,
gyro,gyro,gyros,a gyro,are a type of,gyros are daxable.,gyros have daxes.,p,
thermos,thermos,thermoses,a thermos,are a type of,thermoses are daxable.,thermoses have daxes.,p,
crown,crown,crowns,a crown,are a type of,crowns are daxable.,crowns have daxes.,p,
fern,fern,ferns,a fern,are a type of,ferns are daxable.,ferns have daxes.,p,
toiletry,toiletry,toiletries,a toiletry,are a type of,toiletries are daxable.,toiletries have daxes.,p,
donkey,donkey,donkeys,a donkey,are a type of,donkeys are daxable.,donkeys have daxes.,p,
tent,tent,tents,a tent,are a type of,tents are daxable.,tents have daxes.,p,
watermelon,watermelon,watermelons,a watermelon,are a type of,watermelons are daxable.,watermelons have daxes.,p,
handbrake,handbrake,handbrakes,a handbrake,are a type of,handbrakes are daxable.,handbrakes have daxes.,p,
chessboard,chessboard,chessboards,a chessboard,are a type of,chessboards are daxable.,chessboards have daxes.,p,
goat,goat,goats,a goat,are a type of,goats are daxable.,goats have daxes.,p,
mammal,mammal,mammals,a mammal,are a type of,mammals are daxable.,mammals have daxes.,p,
seahorse,seahorse,seahorses,a seahorse,are a type of,seahorses are daxable.,seahorses have daxes.,p,
rubber band,rubber band,rubber bands,a rubber band,are a type of,rubber bands are daxable.,rubber bands have daxes.,p,
cupcake,cupcake,cupcakes,a cupcake,are a type of,cupcakes are daxable.,cupcakes have daxes.,p,
buckle,buckle,buckles,a buckle,are a type of,buckles are daxable.,buckles have daxes.,p,
coat,coat,coats,a coat,are a type of,coats are daxable.,coats have daxes.,p,
weed,weed,weeds,a weed,are a type of,weeds are daxable.,weeds have daxes.,p,
soap,soap,soaps,a soap,are a type of,soaps are daxable.,soaps have daxes.,p,
sugar cube,sugar cube,sugar cubes,a sugar cube,are a type of,sugar cubes are daxable.,sugar cubes have daxes.,p,
fastener,fastener,fasteners,a fastener,are a type of,fasteners are daxable.,fasteners have daxes.,p,
game,game,games,a game,are a type of,games are daxable.,games have daxes.,p,
crow,crow,crows,a crow,are a type of,crows are daxable.,crows have daxes.,p,
rifle,rifle,rifles,a rifle,are a type of,rifles are daxable.,rifles have daxes.,p,
sickle,sickle,sickles,a sickle,are a type of,sickles are daxable.,sickles have daxes.,p,
nail,nail,nails,a nail,are a type of,nails are daxable.,nails have daxes.,p,
omelet,omelet,omelets,an omelet,are a type of,omelets are daxable.,omelets have daxes.,p,
pot,pot,pots,a pot,are a type of,pots are daxable.,pots have daxes.,p,
charger,charger,chargers,a charger,are a type of,chargers are daxable.,chargers have daxes.,p,
skirt,skirt,skirts,a skirt,are a type of,skirts are daxable.,skirts have daxes.,p,
flip-flop,flip-flop,flip-flops,a flip-flop,are a type of,flip-flops are daxable.,flip-flops have daxes.,p,
computer,computer,computers,a computer,are a type of,computers are daxable.,computers have daxes.,p,
shawl,shawl,shawls,a shawl,are a type of,shawls are daxable.,shawls have daxes.,p,
gopher,gopher,gophers,a gopher,are a type of,gophers are daxable.,gophers have daxes.,p,
beet,beet,beets,a beet,are a type of,beets are daxable.,beets have daxes.,p,
tambourine,tambourine,tambourines,a tambourine,are a type of,tambourines are daxable.,tambourines have daxes.,p,
undershirt,undershirt,undershirts,an undershirt,are a type of,undershirts are daxable.,undershirts have daxes.,p,
