question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4
15239222,existThatNotC,cat,animal,donut,horizontal surface,policeman,source of illumination
735777,existThatNotC,elephant,elephant,audience,motorcycle,dog,cow
735777,existThatNotC,elephant,mammal,water vehicle,adult,child,hoop
735777,existThatNotC,elephant,vertebrate,apple,garment,passenger,skateboard
735777,existThatNotC,elephant,animal,water vehicle,chair,bear,fan
6213941,existThatNotC,giraffe,giraffe,bottle,goat,trash,bridge
6213941,existThatNotC,giraffe,mammal,board,crowd,athlete,bench
6213941,existThatNotC,giraffe,vertebrate,musical instrument,driver,knife,cattle
6213941,existThatNotC,giraffe,animal,snowboard,suitcase,bag,girl
6213977,existThatNotC,giraffe,giraffe,lady,dog,cow,bird
6213977,existThatNotC,giraffe,mammal,guy,cattle,cat,goat
6213977,existThatNotC,giraffe,vertebrate,zebra,person,domestic fowl,cow
6213977,existThatNotC,giraffe,animal,boy,zebra,adult,bull
333687,existThatNotC,airplane,airplane,girl,guy,child,man
333687,existThatNotC,airplane,aircraft,lady,mammal,adult,man
333687,existThatNotC,airplane,vehicle,person,mammal,child,adult
8621690,existThatNotC,woman,woman,bus,bridge,snowboarder,clock
8621690,existThatNotC,woman,adult,cattle,bear,giraffe,man
8621690,existThatNotC,woman,person,salad green,brush,flower,chair
14443762,existThatNotC,cat,cat,house,snowboard,orange,cage
14443762,existThatNotC,cat,feline,enclosure,orange,soil,bench
14443762,existThatNotC,cat,mammal,table,cup,desk,chair
14443762,existThatNotC,cat,vertebrate,plant,pilot,cake,train
14443762,existThatNotC,cat,animal,skateboarder,official,snowboarder,tissue
14443763,existThatNotC,cat,cat,suitcase,boy,phone,glass
14443763,existThatNotC,cat,feline,parrot,lettuce,area,container
14443763,existThatNotC,cat,mammal,vase,dish,house,television
14443763,existThatNotC,cat,vertebrate,group,bull,phone,sheep
14443763,existThatNotC,cat,animal,tableware,computer,fence,couch
19229018,existThatNotC,sheep,sheep,snowboarder,bridge,crowd,boot
19229018,existThatNotC,sheep,mammal,group,cow,canine,feline
19229018,existThatNotC,sheep,vertebrate,elephant,goat,surface,garment
19229018,existThatNotC,sheep,animal,cattle,aquatic bird,seagull,guy
5399424,existThatNotC,dog,dog,girl,surfer,bear,television
5399424,existThatNotC,dog,canine,couple,cow,sheep,boy
5399424,existThatNotC,dog,mammal,man,people,bear,child
5399424,existThatNotC,dog,vertebrate,bear,couple,girl,cow
5399424,existThatNotC,dog,animal,adult,official,device,television
2190809,existThatNotC,bear,bear,child,bread,luggage,chair
2190809,existThatNotC,bear,mammal,kitchen appliance,cattle,enclosure,fixture
2190809,existThatNotC,bear,vertebrate,kettle,camera,board,foil
2190809,existThatNotC,bear,animal,footwear,seat,fork,vessel
111047169,existThatNotC,zebra,zebra,cyclist,elephant,bird,audience
111047169,existThatNotC,zebra,equine,bird,baby,parrot,goat
111047169,existThatNotC,zebra,mammal,bicycle,box,stalk,batter
111047169,existThatNotC,zebra,vertebrate,card,musical instrument,cow,couple
111047169,existThatNotC,zebra,animal,barrier,vase,motorcycle,hand tool
111047170,existThatNotC,zebra,zebra,tent,platform,vase,bike
111047170,existThatNotC,zebra,equine,doll,refrigerator,hand tool,rider
111047170,existThatNotC,zebra,mammal,bathtub,flower,plumbing fixture,pot
111047170,existThatNotC,zebra,vertebrate,suitcase,band,jar,brush
111047170,existThatNotC,zebra,animal,decoration,donut,device,ornament
111047171,existThatNotC,zebra,zebra,doll,tire,goat,snowboarder
111047171,existThatNotC,zebra,equine,can,furniture,bottle,sheep
111047171,existThatNotC,zebra,mammal,canine,official,pole,plumbing fixture
111047171,existThatNotC,zebra,vertebrate,couple,fruit,sheep,piano
111047171,existThatNotC,zebra,animal,bat,pitcher,paper,bear
107110,existThatNotC,dog,dog,girl,bear,baby,giraffe
107110,existThatNotC,dog,canine,zebra,adult,furniture,cow
107110,existThatNotC,dog,mammal,cow,child,woman,elephant
107110,existThatNotC,dog,vertebrate,adult,bear,vehicle,zebra
107110,existThatNotC,dog,animal,bird,cow,child,girl
6620688,existThatNotC,dog,dog,car,woman,giraffe,couple
6620688,existThatNotC,dog,canine,horse,device,feline,motor vehicle
6620688,existThatNotC,dog,mammal,elephant,cow,cat,child
6620688,existThatNotC,dog,vertebrate,adult,child,boy,personal computer
6620688,existThatNotC,dog,animal,audience,gathering,wheeled vehicle,bull
3431304,existThatNotC,sheep,sheep,driver,suitcase,desk,refrigerator
3431304,existThatNotC,sheep,mammal,gathering,liquid,lettuce,suitcase
3431304,existThatNotC,sheep,vertebrate,band,fruit,cup,snowboard
3431304,existThatNotC,sheep,animal,clothing,canine,food,stalk
3431345,existThatNotC,sheep,sheep,horse,goat,zebra,bird
3431345,existThatNotC,sheep,mammal,cow,bull,horse,kitten
3431345,existThatNotC,sheep,vertebrate,boy,cattle,dog,girl
3431345,existThatNotC,sheep,animal,chicken,boy,cattle,couple
9987500,existThatNotC,cat,cat,zebra,bird,guy,bat
9987500,existThatNotC,cat,feline,athlete,doll,baby,surfer
9987500,existThatNotC,cat,mammal,bird,baby,elephant,canine
9987500,existThatNotC,cat,vertebrate,giraffe,antelope,bat,lady
9987500,existThatNotC,cat,animal,bear,athlete,bull,surfer
1672205,existThatNotC,child,child,girl,kitten,cup,zebra
1672205,existThatNotC,child,person,seagull,vertebrate,man,equine
1672223,existThatNotC,child,child,surfboard,sheep,airplane,bull
1672223,existThatNotC,child,person,bench,rider,wheeled vehicle,driver
11727327,existThatNotC,horse,horse,girl,dog,elephant,car
11727327,existThatNotC,horse,equine,bull,personal computer,people,bird
11727327,existThatNotC,horse,mammal,goat,aircraft,zebra,wheeled vehicle
11727327,existThatNotC,horse,vertebrate,couple,aircraft,car,feline
11727327,existThatNotC,horse,animal,man,audience,elephant,sheep
11728319,existThatNotC,bear,bear,child,woman,boy,couple
11728319,existThatNotC,bear,mammal,man,chicken,woman,pilot
11728319,existThatNotC,bear,vertebrate,bull,adult,cutlery,bird
11728319,existThatNotC,bear,animal,horse,woman,domestic fowl,person
11728320,existThatNotC,bear,bear,guy,bird,kitten,chicken
11728320,existThatNotC,bear,mammal,giraffe,sheep,cattle,person
11728320,existThatNotC,bear,vertebrate,equine,person,girl,canine
11728320,existThatNotC,bear,animal,fork,kitten,boy,domestic fowl
12632901,existThatNotC,zebra,zebra,brush,tent,bicycle,bench
12632901,existThatNotC,zebra,equine,people,can,bat,motorcycle
12632901,existThatNotC,zebra,mammal,decoration,boy,train,vehicle
12632901,existThatNotC,zebra,vertebrate,person,barrier,vessel,bag
12632901,existThatNotC,zebra,animal,canine,band,bird,box
12632920,existThatNotC,zebra,zebra,girl,chicken,boy,couple
12632920,existThatNotC,zebra,equine,goat,cow,cat,fork
12632920,existThatNotC,zebra,mammal,parrot,boy,cutlery,adult
12632920,existThatNotC,zebra,vertebrate,guy,cutlery,fork,woman
12632920,existThatNotC,zebra,animal,girl,giraffe,feline,bear
6560635,existThatNotC,cat,cat,man,boot,bird,skier
6560635,existThatNotC,cat,feline,sheep,surfer,child,crowd
6560635,existThatNotC,cat,mammal,covering,cattle,baby,way
6560635,existThatNotC,cat,vertebrate,way,gathering,domestic fowl,elephant
6560635,existThatNotC,cat,animal,path,guy,woman,athlete
19880676,existThatNotC,horse,horse,snowboarder,bottle,suitcase,cat
19880676,existThatNotC,horse,equine,structure,canine,official,bag
19880676,existThatNotC,horse,mammal,fence,child,rod,tower
19880676,existThatNotC,horse,vertebrate,artwork,baked good,motorcycle,driver
19880676,existThatNotC,horse,animal,skateboarder,skateboard,keyboard,motor vehicle
3787259,existThatNotC,bear,bear,zebra,shoe,elephant,donkey
3787259,existThatNotC,bear,mammal,structure,woman,floor,vehicle
3787259,existThatNotC,bear,vertebrate,adult,surfer,wheeled vehicle,boot
3787259,existThatNotC,bear,animal,man,dog,chicken,canine
3204117,existThatNotC,woman,woman,sheep,boy,cyclist,snowboarder
3204117,existThatNotC,woman,adult,zebra,motor vehicle,bird,vertebrate
3204117,existThatNotC,woman,person,bike,apple,blender,sandwich
14114026,existThatNotC,cat,cat,policeman,clock,flower,frisbee
14114026,existThatNotC,cat,feline,girl,aquatic bird,stalk,cutlery
14114026,existThatNotC,cat,mammal,fan,water vehicle,spoon,desk
14114026,existThatNotC,cat,vertebrate,appliance,card,tire,donut
14114026,existThatNotC,cat,animal,cabin,platform,skateboarder,aquatic bird
4753190,existThatNotC,television,television,oven,ring,fireplace,pot
4753190,existThatNotC,television,electronic device,photographic equipment,phone,structure,instrument
4753190,existThatNotC,television,device,rock,personal computer,fireplace,chandelier
4753191,existThatNotC,television,television,lid,man,clock,orange
4753191,existThatNotC,television,electronic device,clock,watch,camera,computer
4753191,existThatNotC,television,device,blender,skateboard,cutlery,guy
1536501,existThatNotC,dog,dog,cat,boy,couple,woman
1536501,existThatNotC,dog,canine,giraffe,cattle,bird,man
1536501,existThatNotC,dog,mammal,baby,giraffe,aquatic bird,couple
1536501,existThatNotC,dog,vertebrate,man,baby,bull,boy
1536501,existThatNotC,dog,animal,man,boy,seagull,kitten
12850281,existThatNotC,airplane,airplane,bus,shoe,toilet,bike
12850281,existThatNotC,airplane,aircraft,fence,heating element,container,van
12850281,existThatNotC,airplane,vehicle,fence,rod,phone,area
17601676,existThatNotC,fork,fork,skier,house,bench,lamp
17601676,existThatNotC,fork,cutlery,citrus fruit,strawberry,lettuce,sandwich
3951153,existThatNotC,giraffe,giraffe,sheep,guy,bull,kitten
3951153,existThatNotC,giraffe,mammal,adult,cat,goat,lady
3951153,existThatNotC,giraffe,vertebrate,feline,equine,sheep,person
3951153,existThatNotC,giraffe,animal,bird,sheep,zebra,cow
3951154,existThatNotC,giraffe,giraffe,bear,girl,woman,bird
3951154,existThatNotC,giraffe,mammal,boy,zebra,guy,bird
3951154,existThatNotC,giraffe,vertebrate,people,cow,canine,bull
3951154,existThatNotC,giraffe,animal,dog,couple,canine,guy
2574508,existThatNotC,skateboard,skateboard,refrigerator,bathtub,snowboarder,driver
2574508,existThatNotC,skateboard,board,man,giraffe,water vehicle,fork
2574509,existThatNotC,skateboard,skateboard,pitcher,cow,lady,bike
2574509,existThatNotC,skateboard,board,stringed instrument,skateboarder,plumbing fixture,baby
181041824,existThatNotC,cat,cat,bear,child,dog,woman
181041824,existThatNotC,cat,feline,child,goat,boy,bear
181041824,existThatNotC,cat,mammal,people,cattle,lady,woman
181041824,existThatNotC,cat,vertebrate,dog,seagull,bird,person
181041824,existThatNotC,cat,animal,bird,goat,man,people
609993,existThatNotC,zebra,zebra,bench,parrot,policeman,boat
609993,existThatNotC,zebra,equine,pineapple,tool,snowboarder,bear
609993,existThatNotC,zebra,mammal,surfboard,container,tower,child
609993,existThatNotC,zebra,vertebrate,dog,horse,doll,surfer
609993,existThatNotC,zebra,animal,policeman,fluid,bicycle,snowboard
10444904,existThatNotC,dog,dog,cat,girl,skier,child
10444904,existThatNotC,dog,canine,couple,bear,adult,woman
10444904,existThatNotC,dog,mammal,guy,people,lady,bear
10444904,existThatNotC,dog,vertebrate,couple,adult,bear,surfer
10444904,existThatNotC,dog,animal,athlete,boy,girl,person
18496055,existThatNotC,giraffe,giraffe,passenger,table,bicycle,fan
18496055,existThatNotC,giraffe,mammal,pole,seagull,refrigerator,baggage
18496055,existThatNotC,giraffe,vertebrate,frisbee,zebra,bottle,donut
18496055,existThatNotC,giraffe,animal,person,paper,fork,piano
18496056,existThatNotC,giraffe,giraffe,tray,donkey,train,bathtub
18496056,existThatNotC,giraffe,mammal,rod,cup,candle,appliance
18496056,existThatNotC,giraffe,vertebrate,canine,cat,aircraft,fluid
18496056,existThatNotC,giraffe,animal,couple,plumbing fixture,bathtub,bicycle
18496105,existThatNotC,giraffe,giraffe,goat,horse,bull,couple
18496105,existThatNotC,giraffe,mammal,child,bear,fork,couple
18496105,existThatNotC,giraffe,vertebrate,girl,man,dog,adult
18496105,existThatNotC,giraffe,animal,people,equine,lady,kitten
11869176,existThatNotC,cat,cat,toilet,skier,laptop,suitcase
11869176,existThatNotC,cat,feline,fixture,sheet,fork,chair
11869176,existThatNotC,cat,mammal,home appliance,vase,structure,bear
11869176,existThatNotC,cat,vertebrate,board,jar,refrigerator,vase
11869176,existThatNotC,cat,animal,boy,snowboarder,equine,source of illumination
7429502,existThatNotC,bird,bird,couple,snowboarder,audience,surfboard
7429502,existThatNotC,bird,vertebrate,stick,airplane,adult,fork
7429502,existThatNotC,bird,animal,traveler,group,fixture,goat
19606653,existThatNotC,cat,cat,giraffe,woman,baby,zebra
19606653,existThatNotC,cat,feline,giraffe,cow,elephant,sheep
19606653,existThatNotC,cat,mammal,snowboarder,girl,zebra,cattle
19606653,existThatNotC,cat,vertebrate,person,vehicle,child,equine
19606653,existThatNotC,cat,animal,adult,dog,girl,sheep
19606696,existThatNotC,cat,cat,goat,seagull,guy,antelope
19606696,existThatNotC,cat,feline,giraffe,man,cattle,woman
19606696,existThatNotC,cat,mammal,lady,stick,boy,dog
19606696,existThatNotC,cat,vertebrate,bat,cattle,athlete,person
19606696,existThatNotC,cat,animal,cattle,goat,zebra,bull
9377531,existThatNotC,surfer,surfer,couple,dog,lady,bear
9377531,existThatNotC,surfer,athlete,child,people,couple,feline
9377531,existThatNotC,surfer,person,guy,dog,cat,man
13325419,existThatNotC,elephant,elephant,woman,sheep,kitten,boy
13325419,existThatNotC,elephant,mammal,surfer,equipment,zebra,canine
13325419,existThatNotC,elephant,vertebrate,kitten,pitcher,cow,woman
13325419,existThatNotC,elephant,animal,canine,kitten,girl,adult
13325438,existThatNotC,elephant,elephant,umpire,placemat,laptop,pen
13325438,existThatNotC,elephant,mammal,doll,baked good,shelter,sheet metal
13325438,existThatNotC,elephant,vertebrate,truck,enclosure,structure,bench
13325438,existThatNotC,elephant,animal,child,sheet metal,shelter,citrus fruit
7658497,existThatNotC,elephant,elephant,pineapple,branch,toothbrush,audience
7658497,existThatNotC,elephant,mammal,tray,skateboard,salad green,lamp
7658497,existThatNotC,elephant,vertebrate,wheeled vehicle,airplane,card,couple
7658497,existThatNotC,elephant,animal,baked good,partition,platform,passenger
13611858,existThatNotC,giraffe,giraffe,bird,sheep,goat,pilot
13611858,existThatNotC,giraffe,mammal,couple,fork,feline,cow
13611858,existThatNotC,giraffe,vertebrate,dog,kitten,adult,bird
13611858,existThatNotC,giraffe,animal,cutlery,man,cattle,couple
13611859,existThatNotC,giraffe,giraffe,kitten,child,man,zebra
13611859,existThatNotC,giraffe,mammal,canine,girl,bird,sheep
13611859,existThatNotC,giraffe,vertebrate,kitten,canine,man,boy
13611859,existThatNotC,giraffe,animal,baby,elephant,bird,cat
3388900,existThatNotC,cat,cat,couple,child,bull,man
3388900,existThatNotC,cat,feline,seagull,sheep,dog,child
3388900,existThatNotC,cat,mammal,adult,canine,goat,seagull
3388900,existThatNotC,cat,vertebrate,person,people,canine,adult
3388900,existThatNotC,cat,animal,cattle,adult,seagull,bear
3388901,existThatNotC,cat,cat,sheep,man,woman,goat
3388901,existThatNotC,cat,feline,adult,bear,child,dog
3388901,existThatNotC,cat,mammal,man,child,couple,person
3388901,existThatNotC,cat,vertebrate,people,dog,person,canine
3388901,existThatNotC,cat,animal,boy,canine,bull,people
1517419,existThatNotC,woman,woman,parrot,baby,cat,horse
1517419,existThatNotC,woman,adult,horse,cow,sheep,animal
1517419,existThatNotC,woman,person,canine,child,people,zebra
7408321,existThatNotC,skateboarder,skateboarder,graffiti,woman,child,guy
7408321,existThatNotC,skateboarder,athlete,canine,artwork,girl,headgear
7408321,existThatNotC,skateboarder,person,art,headgear,child,girl
7408322,existThatNotC,skateboarder,skateboarder,woman,guy,girl,child
7408322,existThatNotC,skateboarder,athlete,shoe,adult,canine,headgear
7408322,existThatNotC,skateboarder,person,boy,girl,canine,child
9524392,existThatNotC,dog,dog,bird,cat,elephant,man
9524392,existThatNotC,dog,canine,child,bus,bull,car
9524392,existThatNotC,dog,mammal,cattle,zebra,child,personal computer
9524392,existThatNotC,dog,vertebrate,bus,goat,bird,electronic device
9524392,existThatNotC,dog,animal,zebra,horse,man,elephant
5712504,existThatNotC,woman,woman,fan,policeman,girl,boy
5712504,existThatNotC,woman,adult,mammal,pitcher,animal,skateboarder
5712504,existThatNotC,woman,person,mammal,policeman,vertebrate,couple
78532,existThatNotC,cat,cat,child,bull,boy,dog
78532,existThatNotC,cat,feline,cattle,sheep,giraffe,bear
78532,existThatNotC,cat,mammal,lady,sheep,goat,man
78532,existThatNotC,cat,vertebrate,couple,seagull,canine,baby
78532,existThatNotC,cat,animal,aquatic bird,couple,bird,woman
12246866,existThatNotC,cat,cat,car,surfer,ball,fork
12246866,existThatNotC,cat,feline,skateboarder,vase,skier,bat
12246866,existThatNotC,cat,mammal,clock,bear,appliance,cucumber
12246866,existThatNotC,cat,vertebrate,box,sandwich,cutlery,television
12246866,existThatNotC,cat,animal,motorcycle,water vehicle,hand tool,citrus fruit
12246886,existThatNotC,cat,cat,woman,boy,lady,child
12246886,existThatNotC,cat,feline,people,seagull,sheep,man
12246886,existThatNotC,cat,mammal,bear,people,adult,dog
12246886,existThatNotC,cat,vertebrate,bird,man,adult,couple
12246886,existThatNotC,cat,animal,person,baby,boy,dog
11337462,existThatNotC,cow,cow,snowboarder,giraffe,boy,boat
11337462,existThatNotC,cow,cattle,giraffe,man,chair,woman
11337462,existThatNotC,cow,mammal,man,giraffe,child,adult
11337462,existThatNotC,cow,vertebrate,bird,zebra,airplane,aircraft
11337462,existThatNotC,cow,animal,equine,goat,girl,athlete
19108242,existThatNotC,dog,dog,man,baseball,box,backpack
19108242,existThatNotC,dog,canine,personal computer,utensil,antelope,coat
19108242,existThatNotC,dog,mammal,guy,mixer,knife,bull
19108242,existThatNotC,dog,vertebrate,baked good,fence,child,game
19108242,existThatNotC,dog,animal,lady,bull,crowd,tableware
11681644,existThatNotC,airplane,airplane,shoe,lid,blind,woman
11681644,existThatNotC,airplane,aircraft,blind,band,person,sailboat
11681644,existThatNotC,airplane,vehicle,feline,strip,zebra,bike
12743271,existThatNotC,giraffe,giraffe,woman,surfer,batter,man
12743271,existThatNotC,giraffe,mammal,stick,refrigerator,aquatic bird,clothing
12743271,existThatNotC,giraffe,vertebrate,bike,plumbing fixture,picture,salad green
12743271,existThatNotC,giraffe,animal,frisbee,furniture,decoration,container
18995649,existThatNotC,dog,dog,giraffe,zebra,audience,bird
18995649,existThatNotC,dog,canine,sheep,train,crowd,cow
18995649,existThatNotC,dog,mammal,vehicle,goat,motor vehicle,woman
18995649,existThatNotC,dog,vertebrate,equine,couple,giraffe,zebra
18995649,existThatNotC,dog,animal,zebra,aircraft,electronic device,guy
191044353,existThatNotC,cat,cat,boy,television,bench,tent
191044353,existThatNotC,cat,feline,candle,motorcycle,tissue,sandwich
191044353,existThatNotC,cat,mammal,jar,keyboard,cow,sculpture
191044353,existThatNotC,cat,vertebrate,bench,instrument,policeman,donut
191044353,existThatNotC,cat,animal,skier,tent,equine,fence
3993784,existThatNotC,child,child,bear,cat,dog,boy
3993784,existThatNotC,child,person,aquatic bird,girl,sheep,bull
1050058,existThatNotC,elephant,elephant,couple,bird,sheep,cow
1050058,existThatNotC,elephant,mammal,equine,child,cup,aquatic bird
1050058,existThatNotC,elephant,vertebrate,dog,man,couple,feline
1050058,existThatNotC,elephant,animal,sheep,cat,people,baby
10554859,existThatNotC,dog,dog,man,antelope,boy,surfer
10554859,existThatNotC,dog,canine,sheep,kitten,toy,horse
10554859,existThatNotC,dog,mammal,baby,guy,surfer,elephant
10554859,existThatNotC,dog,vertebrate,elephant,equine,guy,aquatic bird
10554859,existThatNotC,dog,animal,surfer,athlete,adult,kitten
4917719,existThatNotC,zebra,zebra,clock,bag,sheep,box
4917719,existThatNotC,zebra,equine,bridge,suitcase,baked good,vase
4917719,existThatNotC,zebra,mammal,brush,rod,cabin,bus
4917719,existThatNotC,zebra,vertebrate,umpire,card,home appliance,fan
4917719,existThatNotC,zebra,animal,source of illumination,platform,bridge,official
17600699,existThatNotC,woman,woman,guy,bowl,pot,cyclist
17600699,existThatNotC,woman,adult,motor vehicle,dog,mammal,man
17600699,existThatNotC,woman,person,dog,bowl,room,mixer
17600716,existThatNotC,woman,woman,horse,dog,giraffe,bird
17600716,existThatNotC,woman,adult,cow,dog,elephant,man
17600716,existThatNotC,woman,person,canine,animal,athlete,group
13552254,existThatNotC,bus,bus,goat,airplane,zebra,bird
13552254,existThatNotC,bus,motor vehicle,horse,cow,zebra,canine
13552254,existThatNotC,bus,wheeled vehicle,boy,guy,mammal,feline
13552254,existThatNotC,bus,vehicle,mammal,canine,bull,horse
9781149,existThatNotC,woman,woman,skateboarder,umpire,man,boy
9781149,existThatNotC,woman,adult,animal,canine,cat,man
9781149,existThatNotC,woman,person,girl,sheep,giraffe,animal
151057768,existThatNotC,elephant,elephant,skateboarder,bear,couple,cow
151057768,existThatNotC,elephant,mammal,surfer,girl,zebra,dog
151057768,existThatNotC,elephant,vertebrate,pitcher,television,boy,people
151057768,existThatNotC,elephant,animal,electronic device,canine,equipment,equine
151057834,existThatNotC,baby,baby,sheep,bull,bird,goat
151057834,existThatNotC,baby,child,motorcycle,wall,table,pineapple
151057834,existThatNotC,baby,person,band,fixture,driver,table
255261,existThatNotC,giraffe,giraffe,man,child,bird,zebra
255261,existThatNotC,giraffe,mammal,person,athlete,guy,man
255261,existThatNotC,giraffe,vertebrate,athlete,guy,person,feline
255261,existThatNotC,giraffe,animal,feline,official,umpire,skier
255262,existThatNotC,giraffe,giraffe,cat,cow,zebra,skier
255262,existThatNotC,giraffe,mammal,girl,guy,lady,adult
255262,existThatNotC,giraffe,vertebrate,cat,boy,feline,zebra
255262,existThatNotC,giraffe,animal,feline,skier,guy,man
255281,existThatNotC,giraffe,giraffe,man,woman,fork,guy
255281,existThatNotC,giraffe,mammal,cow,elephant,chicken,zebra
255281,existThatNotC,giraffe,vertebrate,cattle,elephant,baby,child
255281,existThatNotC,giraffe,animal,kitten,chicken,zebra,bird
255282,existThatNotC,giraffe,giraffe,parrot,pilot,chicken,child
255282,existThatNotC,giraffe,mammal,goat,man,baby,cow
255282,existThatNotC,giraffe,vertebrate,bull,elephant,guy,pilot
255282,existThatNotC,giraffe,animal,cat,guy,woman,cutlery
255283,existThatNotC,giraffe,giraffe,cow,boy,lady,sheep
255283,existThatNotC,giraffe,mammal,pilot,guy,bull,kitten
255283,existThatNotC,giraffe,vertebrate,pilot,boy,cutlery,elephant
255283,existThatNotC,giraffe,animal,bear,equine,lady,parrot
7824199,existThatNotC,woman,woman,bear,airplane,man,girl
7824199,existThatNotC,woman,adult,batter,pilot,surfer,baby
7824199,existThatNotC,woman,person,guy,vertebrate,table,boy
5249212,existThatNotC,cat,cat,car,monitor,cooker,collar
5249212,existThatNotC,cat,feline,source of illumination,table linen,structure,pot
5249212,existThatNotC,cat,mammal,sidewalk,artwork,partition,girl
5249212,existThatNotC,cat,vertebrate,equine,citrus fruit,path,shoe
5249212,existThatNotC,cat,animal,device,microwave,jacket,collar
3101175,existThatNotC,woman,woman,surfer,girl,skier,giraffe
3101175,existThatNotC,woman,adult,mammal,girl,zebra,animal
3101175,existThatNotC,woman,person,vertebrate,official,man,zebra
3101199,existThatNotC,woman,woman,boy,couple,skier,child
3101199,existThatNotC,woman,adult,traveler,boy,rider,biker
3101199,existThatNotC,woman,person,couple,child,boy,skier
11412682,existThatNotC,dog,dog,snowboarder,girl,skier,lady
11412682,existThatNotC,dog,canine,woman,goat,lady,adult
11412682,existThatNotC,dog,mammal,adult,snowboarder,surfer,motorcycle
11412682,existThatNotC,dog,vertebrate,girl,motorcycle,adult,boy
11412682,existThatNotC,dog,animal,lady,person,sheep,athlete
2301836,existThatNotC,woman,woman,snowboarder,donkey,zebra,horse
2301836,existThatNotC,woman,adult,footwear,athlete,mammal,covering
2301836,existThatNotC,woman,person,bridge,skier,elephant,animal
16464323,existThatNotC,cat,cat,clock,strawberry,fork,surfer
16464323,existThatNotC,cat,feline,blanket,group,pad,cutlery
16464323,existThatNotC,cat,mammal,child,sports equipment,cup,kettle
16464323,existThatNotC,cat,vertebrate,tissue,purse,backpack,canine
16464323,existThatNotC,cat,animal,enclosure,zebra,pad,structure
16464324,existThatNotC,cat,cat,guy,knife,train,pilot
16464324,existThatNotC,cat,feline,crowd,instrument,shelter,container
16464324,existThatNotC,cat,mammal,sheep,crowd,cow,can
16464324,existThatNotC,cat,vertebrate,bed,photographic equipment,car,bucket
16464324,existThatNotC,cat,animal,man,orange,cucumber,group
16464364,existThatNotC,cat,cat,girl,couple,woman,baby
16464364,existThatNotC,cat,feline,dog,child,cattle,person
16464364,existThatNotC,cat,mammal,official,giraffe,surfer,canine
16464364,existThatNotC,cat,vertebrate,athlete,zebra,bear,person
16464364,existThatNotC,cat,animal,sheep,guy,cow,couple
16196443,existThatNotC,woman,woman,clock,bird,box,candle
16196443,existThatNotC,woman,adult,brush,bear,horse,motor vehicle
16196443,existThatNotC,woman,person,people,artwork,cow,equine
31043588,existThatNotC,dog,dog,bird,seagull,sheep,lady
31043588,existThatNotC,dog,canine,feline,kitten,lady,girl
