noun,sense
sweater,sweater.n.01
stick,stick.n.01
room,room.n.01
couch,sofa.n.01
frisbee,frisbee.n.01
camera,camera.n.01
air,air.n.01
step,measure.n.01
trash_can,ashcan.n.01
paint,paint.n.01
rope,rope.n.01
tray,tray.n.01
tile,tile.n.01
belt,belt.n.01
bat,bat.n.01
television,television.n.01
suit,suit.n.01
spoon,spoon.n.01
bathroom,bathroom.n.01
pepper,pepper.n.01
candle,candle.n.01
onion,onion.n.01
sauce,sauce.n.01
ring,ring.n.01
meat,meat.n.01
brick,brick.n.01
van,avant-garde.n.01
vest,vest.n.01
computer,computer.n.01
bridge,bridge.n.01
goggles,goggles.n.01
gravel,gravel.n.01
platform,platform.n.01
label,label.n.01
chain,chain.n.01
pavement,pavement.n.01
beak,beak.n.01
refrigerator,refrigerator.n.01
wetsuit,NF
balcony,balcony.n.01
carpet,rug.n.01
tree_trunk,trunk.n.01
skirt,skirt.n.01
suitcase,bag.n.06
palm_tree,palm.n.03
fire_hydrant,fireplug.n.01
pocket,pocket.n.01
spectator,spectator.n.01
kitchen,kitchen.n.01
jersey,new_jersey.n.01
dish,dish.n.01
remote_control,remote_control.n.01
can,can.n.01
shore,shore.n.01
rug,rug.n.01
outlet,mercantile_establishment.n.01
star,star.n.01
computer_mouse,mouse.n.04
bracelet,watchband.n.01
clothes,apparel.n.01
street_sign,street_sign.n.01
snowboard,snowboard.n.01
net,internet.n.01
stair,step.n.04
scarf,scarf.n.01
gate,gate.n.01
graffiti,graffito.n.01
purse,bag.n.04
luggage,baggage.n.01
beard,beard.n.01
log,log.n.01
necklace,necklace.n.01
sandwich,sandwich.n.01
wristband,wristband.n.01
parking_lot,parking_lot.n.01
park,park.n.01
blind,blind.n.01
train_tracks,NF
statue,statue.n.01
sun,sun.n.01
speaker,speaker.n.01
wine,wine.n.01
doorway,doorway.n.01
sandal,sandal.n.01
path,way.n.05
skier,skier.n.01
teeth,dentition.n.02
men,work_force.n.01
monitor,proctor.n.01
crust,crust.n.01
stove,stove.n.01
cable,cable.n.01
weed,weed.n.01
chimney,chimney.n.01
pen,pen.n.01
topping,topping.n.01
jar,jar.n.01
feather,feather.n.01
home_plate,home_plate.n.01
fan,fan.n.01
tent,tent.n.01
cart,cart.n.01
catcher,catcher.n.01
trash,rubbish.n.01
outfit,outfit.n.01
painting,painting.n.01
forest,forest.n.01
bathtub,bathtub.n.01
eye_glasses,NF
decoration,decoration.n.01
countertop,countertop.n.01
oven,oven.n.01
earring,earring.n.01
pine_tree,pine.n.01
lettuce,boodle.n.01
city,city.n.01
walkway,walk.n.05
sheet,sheet.n.01
olive,olive.n.01
dock,dock.n.01
pan,pan.n.01
cockpit,cockpit.n.01
bun,bun.n.01
poster,poster.n.01
light_switch,NF
hot_dog,hotdog.n.01
frosting,frosting.n.01
bucket,bucket.n.01
controller,accountant.n.01
lip,lip.n.01
pepperoni,pepperoni.n.01
crowd,crowd.n.01
thumb,thumb.n.01
propeller,propeller.n.01
symbol,symbol.n.01
liquid,liquid.n.01
tablecloth,tablecloth.n.01
store,shop.n.01
mushroom,mushroom.n.01
runway,track.n.09
train_car,NF
potato,potato.n.01
teddy_bear,teddy.n.01
baby,baby.n.01
microwave,microwave.n.01
headband,headband.n.01
utensil,utensil.n.01
headboard,headboard.n.01
straw,straw.n.01
stop_sign,NF
skin,skin.n.01
egg,egg.n.01
display,display.n.01
couple,couple.n.01
ladder,ladder.n.01
sprinkle,scattering.n.03
power_lines,power_line.n.01
tennis_ball,tennis_ball.n.01
toy,plaything.n.01
burner,burner.n.01
grill,grillroom.n.01
umpire,umpire.n.01
brush,brush.n.01
tongue,tongue.n.01
game,game.n.01
smoke,smoke.n.01
canopy,canopy.n.01
grape,grape.n.01
magnet,magnet.n.01
river,river.n.01
taxi,cab.n.03
chicken,chicken.n.01
drain,drain.n.01
mask,mask.n.01
american_flag,american_flag.n.01
mug,mug.n.01
strawberry,strawberry.n.01
batter,batter.n.01
wine_glass,NF
suv,sport_utility.n.01
tank_top,tank_top.n.01
scissors,scissors.n.01
barrier,barrier.n.01
planter,planter.n.01
drink,drink.n.01
cross,cross.n.01
duck,duck.n.01
baseball,baseball.n.01
mat,mat.n.01
telephone_pole,telephone_pole.n.01
crosswalk,crossing.n.05
toilet_paper,toilet_tissue.n.01
hay,hay.n.01
twig,branchlet.n.01
tape,tape.n.01
hillside,hillside.n.01
surfer,surfer.n.01
station,station.n.01
passenger,passenger.n.01
mustache,mustache.n.01
pond,pond.n.01
heart,heart.n.01
sofa,sofa.n.01
balloon,balloon.n.01
crate,crate.n.01
toothbrush,toothbrush.n.01
pitcher,pitcher.n.01
rose,rose.n.01
spice,spice.n.01
baseball_bat,baseball_bat.n.01
moss,moss.n.01
apron,apron.n.01
airport,airport.n.01
light_bulb,light_bulb.n.01
lemon,lemon.n.01
cupcake,cupcake.n.01
magazine,magazine.n.01
light_fixture,NF
bookshelf,bookshelf.n.01
fence_post,NF
hose,hosiery.n.01
power_line,power_line.n.01
icing,frost.n.03
fireplace,fireplace.n.01
nightstand,NF
hook,hook.n.01
antenna,antenna.n.01
beer,beer.n.01
comforter,sympathizer.n.01
lake,lake.n.01
fry,fry.n.01
coffee_table,coffee_table.n.01
sweatshirt,sweatshirt.n.01
shower,shower.n.01
jet,jet.n.01
water_bottle,water_bottle.n.01
entrance,entrance.n.01
driver,driver.n.01
soap,soap.n.01
sail,sail.n.01
buoy,buoy.n.01
hedge,hedge.n.01
salad,salad.n.01
cupboard,cupboard.n.01
paddle,paddle.n.01
mound,mound.n.01
tree_branch,limb.n.02
drawing,drawing.n.01
pine_trees,pine.n.01
bell,bell.n.01
seed,seed.n.01
cucumber,cucumber.n.01
goat,goat.n.01
palm_trees,palm.n.03
parking_meter,parking_meter.n.01
rice,rice.n.01
sausage,sausage.n.01
tissue,tissue.n.01
ketchup,catsup.n.01
puddle,puddle.n.01
dispenser,dispenser.n.01
dome,dome.n.01
pedestrian,pedestrian.n.01
pastry,pastry.n.01
lawn,lawn.n.01
blouse,blouse.n.01
ice,ice.n.01
living_room,living_room.n.01
card,card.n.01
menu,menu.n.01
deck,deck.n.01
restaurant,restaurant.n.01
candy,candy.n.01
bacon,bacon.n.01
saucer,disk.n.01
roll,axial_rotation.n.01
lock,lock.n.01
machine,machine.n.01
yard,yard.n.01
trailer,dawdler.n.01
zoo,menagerie.n.02
toilet_seat,toilet_seat.n.01
spinach,spinach.n.01
nut,nut.n.01
crane,crane.n.01
coffee,coffee.n.01
bubble,bubble.n.01
juice,juice.n.01
bedroom,bedroom.n.01
marker,marker.n.01
mud,mud.n.01
berry,berry.n.01
intersection,intersection.n.01
cooler,cooler.n.01
stuffed_animal,NF
mouse_pad,NF
crumb,crumb.n.01
wool,wool.n.01
cabinet_door,NF
dugout,dugout.n.01
mustard,mustard.n.01
pigeon,pigeon.n.01
newspaper,newspaper.n.01
skateboarder,skateboarder.n.01
wii_controller,NF
lamp_shade,lampshade.n.01
computer_monitor,computer_monitor.n.01
dresser,chest_of_drawers.n.01
wine_bottle,wine_bottle.n.01
traffic_sign,NF
clock_tower,clock_tower.n.01
cutting_board,chopping_board.n.01
placemat,NF
stroller,saunterer.n.01
chocolate,cocoa.n.01
staircase,stairway.n.01
headphone,earphone.n.01
ski_lift,ski_tow.n.01
fish,fish.n.01
coffee_cup,coffee_cup.n.01
dishwasher,dishwasher.n.01
scooter,water_scooter.n.01
waist,waist.n.01
character,fictional_character.n.01
silverware,silverware.n.01
bleacher,bleacher.n.01
figurine,figurine.n.01
figure,figure.n.01
shop,shop.n.01
steering_wheel,steering_wheel.n.01
pillar,pillar.n.01
bean,bean.n.01
microphone,microphone.n.01
lamb,lamb.n.01
flower_pot,NF
sailboat,sailboat.n.01
snowsuit,snowsuit.n.01
porch,porch.n.01
bus_stop,bus_stop.n.01
artwork,artwork.n.01
tree_branches,limb.n.02
train_station,railway_station.n.01
cage,cage.n.01
dessert,dessert.n.01
locomotive,locomotive.n.01
carriage,passenger_car.n.01
vine,vine.n.01
cream,cream.n.01
bedspread,bedspread.n.01
drape,curtain.n.01
island,island.n.01
traffic_lights,traffic_light.n.01
barn,barn.n.01
ham,ham.n.01
ship,ship.n.01
pumpkin,pumpkin.n.01
skyscraper,skyscraper.n.01
ornament,decoration.n.01
wristwatch,wristwatch.n.01
pea,pea.n.01
doll,doll.n.01
seagull,gull.n.02
corn,corn.n.01
bandana,bandanna.n.01
policeman,policeman.n.01
urinal,urinal.n.01
heel,heel.n.01
street_lights,NF
kettle,kettle.n.01
device,device.n.01
basil,basil.n.01
tool,tool.n.01
cd,cadmium.n.01
skate_park,NF
snowboarder,snowboarder.n.01
toilet_bowl,toilet_bowl.n.01
blender,blender.n.01
sculpture,sculpture.n.01
soda,sodium_carbonate.n.01
cabin,cabin.n.01
pineapple,pineapple.n.01
stuffed_bear,NF
cookie,cookie.n.01
cherry,cherry.n.01
blueberry,blueberry.n.01
church,church.n.01
knee_pad,knee_pad.n.01
sea,sea.n.01
package,package.n.01
air_conditioner,air_conditioner.n.01
garage,garage.n.01
beverage,beverage.n.01
pasture,pasture.n.01
swimsuit,swimsuit.n.01
spatula,spatula.n.01
handbag,bag.n.04
bookcase,bookcase.n.01
bull,bull.n.01
soup,soup.n.01
coffee_maker,coffee_maker.n.01
family,family.n.01
herb,herb.n.01
canoe,canoe.n.01
patio,patio.n.01
picture_frame,picture_frame.n.01
chandelier,chandelier.n.01
canister,case_shot.n.01
wallpaper,wallpaper.n.01
milk,milk.n.01
stump,stump.n.01
soccer_ball,soccer_ball.n.01
cigarette,cigarette.n.01
foil,foil.n.01
tunnel,tunnel.n.01
toaster,toaster.n.01
butter,butter.n.01
flip_flops,NF
cliff,cliff.n.01
pencil,pencil.n.01
coffee_mug,coffee_mug.n.01
swimming_pool,swimming_pool.n.01
seaweed,seaweed.n.01
noodle,noodle.n.01
bikini,bikini.n.01
life_jacket,life_jacket.n.01
stadium,stadium.n.01
tomato_sauce,tomato_sauce.n.01
railroad,railway.n.01
rain,rain.n.01
sugar,sugar.n.01
pear,pear.n.01
biker,NF
notebook,notebook.n.01
garden,garden.n.01
audience,audience.n.01
bouquet,bouquet.n.01
highway,highway.n.01
steam,steam.n.01
guitar,guitar.n.01
end_table,NF
meal,meal.n.01
picnic_table,NF
wii,NF
flip_flop,NF
salt_shaker,saltshaker.n.01
platter,platter.n.01
shoe_lace,shoelace.n.01
pasta,pasta.n.01
ceiling_light,NF
aircraft,aircraft.n.01
shower_curtain,shower_curtain.n.01
paper_towels,paper_towel.n.01
chopstick,chopstick.n.01
snow_pants,NF
peach,peach.n.01
ottoman,ottoman.n.01
hour_hand,hour_hand.n.01
radiator,radiator.n.01
watermelon,watermelon.n.01
mattress,mattress.n.01
cabbage,cabbage.n.01
roadway,roadway.n.01
market,market.n.01
folding_chair,folding_chair.n.01
map,map.n.01
calf,calf.n.01
bead,bead.n.01
knee_pads,knee_pad.n.01
mailbox,mailbox.n.01
costume,costume.n.01
cowboy_hat,cowboy_hat.n.01
manhole_cover,manhole_cover.n.01
officer,military_officer.n.01
office,office.n.01
tree_leaves,NF
pilot,pilot.n.01
worker,worker.n.01
minute_hand,minute_hand.n.01
candle_holder,candlestick.n.01
printer,printer.n.01
shelter,shelter.n.01
herd,herd.n.01
pizza_slice,NF
cauliflower,cauliflower.n.01
squash,squash.n.01
celery,celery.n.01
robe,robe.n.01
jeep,jeep.n.01
match,match.n.01
butterfly,butterfly.n.01
face_mask,face_mask.n.01
fountain,fountain.n.01
lighthouse,beacon.n.03
polo_shirt,polo_shirt.n.01
toilet_tank,NF
door_frame,NF
crown,crown.n.01
produce,produce.n.01
shrimp,runt.n.01
sign_post,NF
hallway,hallway.n.01
town,town.n.01
undershirt,singlet.n.01
wildflower,wildflower.n.01
name_tag,name_tag.n.01
powdered_sugar,powdered_sugar.n.01
soap_dispenser,soap_dispenser.n.01
garage_door,NF
appliance,appliance.n.01
roadside,wayside.n.01
side_table,NF
garland,garland.n.01
blazer,blazer.n.01
binder,binder.n.01
harbor,seaport.n.01
pepper_shaker,pepper_shaker.n.01
briefcase,briefcase.n.01
legging,legging.n.01
avocado,avocado.n.01
dough,dough.n.01
bagel,bagel.n.01
muffin,muffin.n.01
dress_shirt,dress_shirt.n.01
toilet_lid,NF
smoke_stack,NF
soap_dish,soap_dish.n.01
beer_bottle,beer_bottle.n.01
toast,toast.n.01
mannequin,mannequin.n.01
salt,salt.n.01
wagon,wagon.n.01
paper_towel,paper_towel.n.01
ice_cream,ice_cream.n.01
vas,vessel.n.01
pancake,pancake.n.01
satellite_dish,NF
toothpaste,toothpaste.n.01
athletic_shoe,NF
game_controller,NF
fog,fog.n.01
elbow_pad,elbow_pad.n.01
fire_extinguisher,fire_extinguisher.n.01
apple_logo,NF
mozzarella,mozzarella.n.01
team,team.n.01
garnish,garnish.n.01
cooky,cookie.n.02
stage,phase.n.01
tongs,tongs.n.01
lime,calcium_hydroxide.n.01
safety_jacket,NF
glaze,glaze.n.01
floor_lamp,floor_lamp.n.01
feeder,feeder.n.01
window_frame,window_frame.n.01
dvd,videodisk.n.01
clock_hand,NF
shield,shield.n.01
shopping_bag,shopping_bag.n.01
beach_chair,deck_chair.n.01
fire,fire.n.01
boulder,boulder.n.01
photographer,photographer.n.01
oil,oil.n.01
wallet,wallet.n.01
sack,sack.n.01
oven_door,NF
cyclist,cyclist.n.01
minivan,minivan.n.01
moon,moon.n.01
closet,cupboard.n.01
radio,radio.n.01
cactus,cactus.n.01
toiletry,toiletry.n.01
heater,heater.n.01
parking_sign,NF
lipstick,lipstick.n.01
coke,coke.n.01
goal,goal.n.01
goose,goose.n.01
entertainment_center,entertainment_center.n.01
banana_bunch,NF
soda_can,soda_can.n.01
hotel,hotel.n.01
cereal,cereal.n.01
powder,powder.n.01
swan,swan.n.01
mother,mother.n.01
charger,charger.n.01
pie,pie.n.01
ipod,ipod.n.01
flamingo,flamingo.n.01
skater,skater.n.01
butter_knife,butter_knife.n.01
packet,package.n.01
parsley,parsley.n.01
blossom,flower.n.02
cane,cane.n.01
gravy,gravy.n.01
dumpster,dumpster.n.01
coffee_pot,NF
deer,deer.n.01
scaffolding,scaffolding.n.01
beef,beef.n.01
flour,flour.n.01
sponge,sponge.n.01
monkey,monkey.n.01
alarm_clock,alarm_clock.n.01
kiwi,chinese_gooseberry.n.01
castle,palace.n.01
tv_stand,NF
asparagus,asparagus.n.01
melon,melon.n.01
tea,tea.n.01
terminal,terminal.n.01
tangerine,tangerine.n.01
video_game,computer_game.n.01
dvd_player,NF
jockey,jockey.n.01
trash_bag,NF
polar_bear,ice_bear.n.01
piano,piano.n.01
burger,burger.n.01
lion,lion.n.01
gun,gun.n.01
tea_kettle,NF
armchair,armchair.n.01
apartment_building,apartment_building.n.01
pump,pump.n.01
rooftop,rooftop.n.01
home,home.n.01
cracker,cracker.n.01
life_preserver,life_preserver.n.01
wine_glasses,NF
chef,chef.n.01
control_panel,control_panel.n.01
syrup,syrup.n.01
light_bulbs,light_bulb.n.01
price_tag,price_tag.n.01
whipped_cream,whipped_cream.n.01
tablet,tablet.n.01
soldier,soldier.n.01
sunflower,sunflower.n.01
dressing,dressing.n.01
garlic,garlic.n.01
water_glass,soluble_glass.n.01
stuffed_animals,NF
dryer,dryer.n.01
tissue_box,NF
toilet_brush,NF
antelope,antelope.n.01
jumpsuit,jump_suit.n.01
broom,broom.n.01
fire_truck,fire_engine.n.01
turbine,turbine.n.01
pickle,pickle.n.01
snack,bite.n.04
envelope,envelope.n.01
tourist,tourist.n.01
raspberry,raspberry.n.01
sunglass,sunglass.n.01
tractor,tractor.n.01
console,console_table.n.01
gas_station,gasoline_station.n.01
keypad,computer_keyboard.n.01
cloth,fabric.n.01
dinner,dinner.n.01
cabinet_doors,NF
wine_bottles,wine_bottle.n.01
mixer,sociable.n.01
zucchini,zucchini.n.01
kitten,kitten.n.01
mango,mango.n.01
raisin,raisin.n.01
dip,dip.n.01
pajama,pajama.n.01
apartment,apartment.n.01
breakfast,breakfast.n.01
blood,blood.n.01
coach,coach.n.01
plain,plain.n.01
biscuit,biscuit.n.01
drum,drum.n.01
brownie,brownie.n.01
notepad,notepad.n.01
lunch,lunch.n.01
shower_door,NF
croissant,crescent_roll.n.01
dinosaur,dinosaur.n.01
student,student.n.01
steak,steak.n.01
pillowcase,case.n.19
ladle,ladle.n.01
parachute,parachute.n.01
hot_dogs,hotdog.n.01
dining_table,dining_table.n.01
sea_foam,NF
table_lamp,table_lamp.n.01
daisy,daisy.n.01
bone,bone.n.01
comb,comb.n.01
office_chair,NF
meadow,hayfield.n.01
bus_driver,busman.n.01
hamburger,hamburger.n.01
farm,farm.n.01
baseball_players,ballplayer.n.01
cooker,cooker.n.01
coconut,coconut.n.01
baseball_mitt,baseball_glove.n.01
battery,battery.n.01
toddler,toddler.n.01
bandage,bandage.n.01
soda_bottle,pop_bottle.n.01
bar_stool,NF
gas_stove,gas_range.n.01
customer,customer.n.01
touchpad,NF
courtyard,court.n.10
luggage_cart,NF
tea_pot,NF
athlete,athlete.n.01
desert,desert.n.01
cowboy,cowboy.n.01
dragon,dragon.n.01
pizza_crust,NF
flame,fire.n.03
hilltop,hilltop.n.01
panda,giant_panda.n.01
stapler,stapler.n.01
eggplant,eggplant.n.01
bottle_cap,NF
dining_room,dining_room.n.01
chili,chili.n.01
desk_lamp,NF
bedding,bedclothes.n.01
pouch,pouch.n.01
receipt,reception.n.04
wheelchair,wheelchair.n.01
peanut,peanut.n.01
puppy,puppy.n.01
projector,projector.n.01
teddy_bears,teddy.n.01
tattoo,tattoo.n.01
ketchup_bottle,catsup_bottle.n.01
spray_bottle,NF
owl,owl.n.01
cooking_utensils,cooking_utensil.n.01
ostrich,ostrich.n.01
tortilla,tortilla.n.01
turkey,turkey.n.01
hotel_room,hotel_room.n.01
chalkboard,blackboard.n.01
marina,marina.n.01
sword,sword.n.01
knife_block,NF
money,money.n.01
raincoat,raincoat.n.01
waterfall,waterfall.n.01
penguin,penguin.n.01
beach_umbrella,NF
school_bus,school_bus.n.01
pizza_cutter,NF
toaster_oven,toaster_oven.n.01
eagle,eagle.n.01
video_camera,NF
serving_tray,NF
bath_towel,bath_towel.n.01
cafe,cafe.n.01
kiosk,booth.n.02
yogurt,yogurt.n.01
macaroni,macaroni.n.01
banana_peel,banana_peel.n.01
food_truck,NF
seal,sealing_wax.n.01
soccer_player,soccer_player.n.01
christmas_lights,NF
electric_toothbrush,electric_toothbrush.n.01
employee,employee.n.01
coin,coin.n.01
almond,almond.n.01
gentleman,gentleman.n.01
rib,rib.n.01
shampoo,shampoo.n.01
beet,beet.n.01
village,village.n.01
bunny,bunny.n.01
christmas_light,NF
hangar,airdock.n.01
donkey,donkey.n.01
tennis_balls,tennis_ball.n.01
shoe_laces,shoelace.n.01
alcohol,alcohol.n.01
skillet,frying_pan.n.01
jewelry,jewelry.n.01
calculator,calculator.n.01
soap_bottle,NF
honey,honey.n.01
backyard,backyard.n.01
underwear,underwear.n.01
computer_desk,NF
fruit_stand,NF
parrot,parrot.n.01
garment,garment.n.01
cell_phones,cell_phone.v.01
hair_dryer,hand_blower.n.01
gown,gown.n.01
aquarium,aquarium.n.01
washing_machine,washer.n.03
medicine_cabinet,medicine_chest.n.01
cash_register,cash_register.n.01
waste_basket,wastepaper_basket.n.01
router,router.n.01
museum,museum.n.01
instrument,instrument.n.01
restroom,public_toilet.n.01
peanut_butter,peanut_butter.n.01
earphone,earphone.n.01
video_games,computer_game.n.01
pizza_box,NF
mashed_potatoes,NF
dish_soap,NF
bug,bug.n.01
cranberry,cranberry.n.01
gift,gift.n.01
vending_machine,vending_machine.n.01
sushi,sushi.n.01
tiger,tiger.n.01
pig,hog.n.03
grapefruit,grapefruit.n.01
walnut,walnut.n.01
gas_pump,gas_pump.n.01
helicopter,helicopter.n.01
diaper,diaper.n.01
sconce,sconce.n.01
ambulance,ambulance.n.01
snow_boots,NF
tofu,bean_curd.n.01
chinese_food,NF
fishing_pole,fishing_rod.n.01
frog,frog.n.01
storage_box,NF
classroom,classroom.n.01
football,football.n.01
toy_car,NF
vendor,seller.n.01
father,father.n.01
obstacle,obstacle.n.01
hurdle,hurdle.n.01
feta_cheese,NF
alligator,alligator.n.01
hand_soap,NF
potato_chips,chip.n.04
pomegranate,pomegranate.n.01
visitor,visitor.n.01
onion_ring,NF
papaya,papaya.n.01
seat_belt,seat_belt.n.01
dolphin,dolphinfish.n.02
shark,shark.n.01
bird_cage,NF
cheese_cube,NF
shopper,shopper.n.01
mountain_peak,mountain_peak.n.01
merchandise,merchandise.n.01
engineer,engineer.n.01
plantain,plantain.n.01
shampoo_bottle,NF
lego,lego.n.01
stuffed_dog,NF
water_bottles,water_bottle.n.01
mountain_side,NF
nest,nest.n.01
hammer,hammer.n.01
coffee_bean,coffee_bean.n.01
pretzel,pretzel.n.01
rabbit,rabbit.n.01
artichoke,artichoke.n.01
omelette,omelet.n.01
coleslaw,coleslaw.n.01
rubber_duck,NF
salmon,salmon.n.01
milk_carton,NF
rhino,rhinoceros.n.01
remote_controls,remote_control.n.01
grinder,bomber.n.03
wig,wig.n.01
appetizer,appetizer.n.01
sugar_packets,NF
ice_maker,ice_maker.n.01
waffle,waffle.n.01
oak_tree,oak.n.02
temple,temple.n.01
mall,promenade.n.02
cathedral,cathedral.n.01
bell_tower,bell_tower.n.01
bison,bison.n.01
spear,spear.n.01
whisk,whisk.n.01
library,library.n.01
cheesecake,cheesecake.n.01
egg_yolk,egg_yolk.n.01
sour_cream,sour_cream.n.01
horse_hoof,NF
mayonnaise,mayonnaise.n.01
scrub_brush,scrub_brush.n.01
olive_oil,olive_oil.n.01
broth,broth.n.01
elevator,elevator.n.01
guacamole,guacamole.n.01
rolling_pin,rolling_pin.n.01
parent,parent.n.01
grater,grater.n.01
factory,factory.n.01
liquor,liquor.n.01
toothpick,toothpick.n.01
lobster,lobster.n.01
baking_sheet,NF
marshmallow,marshmallow.n.01
microwave_oven,microwave.n.02
ingredient,ingredient.n.01
beer_can,beer_can.n.01
hippo,hippo.n.01
vacuum,vacuum.n.01
cereal_box,cereal_box.n.01
sweet_potato,sweet_potato.n.01
chef_hat,NF
cigar,cigar.n.01
baked_goods,baked_goods.n.01
alien,foreigner.n.01
spider,spider.n.01
hard_drive,disk_drive.n.01
ice_cubes,ice_cube.n.01
egg_shell,NF
shopping_cart,shopping_cart.n.01
plier,plier.n.01
burrito,burrito.n.01
mixing_bowl,mixing_bowl.n.01
cooking_pot,NF
hair_clip,NF
panda_bear,giant_panda.n.01
eiffel_tower,eiffel_tower.n.01
cinnamon_roll,cinnamon_roll.n.01
octopus,octopus.n.01
paper_container,NF
cat_food,cat_food.n.01
snake,snake.n.01
mickey_mouse,mickey_mouse.n.01
salad_dressing,dressing.n.01
pizza_pan,NF
soda_cans,soda_can.n.01
mustard_bottle,NF
ramekin,ramekin.n.01
camel,camel.n.01
meatball,meatball.n.01
accessory,accessory.n.01
thermometer,thermometer.n.01
onion_rings,NF
spray_can,aerosol.n.02
paper_dispenser,NF
cream_cheese,cream_cheese.n.01
kitchen_towel,NF
paint_brush,NF
ear_buds,NF
toolbox,toolbox.n.01
piercing,pierce.v.01
squirrel,squirrel.n.01
can_opener,can_opener.n.01
loaf,loaf_of_bread.n.01
pizza_tray,NF
pizza_slices,NF
desktop_computer,desktop_computer.n.01
pantry,pantry.n.01
bakery,bakery.n.01
tuna,tuna.n.01
dumpling,dumpling.n.01
dish_drainer,NF
seafood,seafood.n.01
baking_pan,NF
auditorium,auditorium.n.01
parmesan_cheese,NF
orchid,orchid.n.01
blackberry,blackberry.n.01
