concept1,concept2,yes,no
bear,gerbil,-2.571399688720703,-5.696399688720703
bear,guinea_pig,-2.6209888458251953,-5.370988845825195
bear,hamster,-2.464975357055664,-5.214975357055664
bear,mouse,-2.492494583129883,-5.242494583129883
bear,porcupine,-2.4645156860351562,-5.214515686035156
bear,rat,-2.4905948638916016,-5.240594863891602
bear,buffalo,-2.6443729400634766,-4.894372940063477
bear,cow,-2.454996109008789,-5.079996109008789
bear,ox,-2.340778350830078,-5.215778350830078
bear,goat,-2.5516223907470703,-5.05162239074707
bear,sheep,-2.4972267150878906,-5.122226715087891
bear,deer,-2.4097766876220703,-5.03477668762207
bear,moose,-2.3737316131591797,-5.24873161315918
bear,giraffe,-2.5810928344726562,-5.331092834472656
bear,camel,-2.5277481079101562,-5.152748107910156
bear,hippo,-2.560537338256836,-5.310537338256836
bear,llama,-2.5786361694335938,-5.203636169433594
bear,pig,-2.516704559326172,-5.016704559326172
bear,donkey,-2.650318145751953,-5.150318145751953
bear,horse,-2.480072021484375,-5.230072021484375
bear,pony,-2.647897720336914,-5.272897720336914
bear,zebra,-2.637693405151367,-5.387693405151367
bear,rhino,-2.5086822509765625,-5.2586822509765625
bear,gorilla,-2.5335445404052734,-5.408544540405273
bear,monkey,-2.4868030548095703,-5.11180305480957
bear,hedgehog,-2.605255126953125,-5.230255126953125
bear,rabbit,-2.5989036560058594,-5.098903656005859
bear,seal,-2.6144676208496094,-5.114467620849609
bear,walrus,-2.5955352783203125,-5.2205352783203125
bear,dolphin,-2.750591278076172,-5.125591278076172
bear,whale,-2.5992679595947266,-5.224267959594727
bear,elephant,-2.611948013305664,-5.236948013305664
bear,kangaroo,-2.5361328125,-5.5361328125
bear,platypus,-2.475027084350586,-5.725027084350586
bear,crocodile,-2.4188156127929688,-5.168815612792969
bear,alligator,-2.5588722229003906,-5.183872222900391
bear,lizard,-2.546255111694336,-5.171255111694336
bear,iguana,-2.527902603149414,-5.277902603149414
bear,rattlesnake,-2.517148971557617,-5.267148971557617
bear,tortoise,-2.6720409393310547,-5.172040939331055
bear,turtle,-2.4517688751220703,-5.20176887512207
bear,frog,-2.5765819549560547,-5.201581954956055
bear,toad,-2.5380191802978516,-5.413019180297852
bear,budgie,-2.651660919189453,-5.026660919189453
bear,parakeet,-2.547880172729492,-5.547880172729492
bear,buzzard,-2.3121604919433594,-5.312160491943359
bear,falcon,-2.4712390899658203,-5.47123908996582
bear,hawk,-2.4664878845214844,-5.091487884521484
bear,eagle,-2.447601318359375,-5.072601318359375
bear,owl,-2.543506622314453,-5.168506622314453
bear,canary,-2.5831146240234375,-5.2081146240234375
bear,magpie,-2.747772216796875,-5.372772216796875
bear,raven,-2.4842967987060547,-5.109296798706055
bear,nightingale,-2.647188186645508,-4.772188186645508
bear,robin,-2.6220855712890625,-5.4970855712890625
bear,starling,-2.480274200439453,-5.230274200439453
bear,sparrow,-2.6540279388427734,-5.154027938842773
bear,wren,-2.624300003051758,-5.499300003051758
bear,chicken,-2.620229721069336,-5.245229721069336
bear,cockerel,-2.4825916290283203,-4.73259162902832
bear,turkey,-2.4852466583251953,-5.360246658325195
bear,dove,-2.450166702270508,-5.075166702270508
bear,pigeon,-2.580717086791992,-5.080717086791992
bear,partridge,-2.5299835205078125,-5.2799835205078125
bear,peacock,-2.6264820098876953,-5.251482009887695
bear,crane,-2.473867416381836,-5.098867416381836
bear,flamingo,-2.7363128662109375,-5.3613128662109375
bear,heron,-2.365550994873047,-5.365550994873047
bear,duck,-2.504983901977539,-5.004983901977539
bear,goose,-2.6316757202148438,-5.131675720214844
bear,pelican,-2.611175537109375,-5.486175537109375
bear,penguin,-2.6415863037109375,-5.1415863037109375
bear,seagull,-2.6446590423583984,-5.269659042358398
bear,swan,-2.475555419921875,-5.225555419921875
bear,hummingbird,-2.5619068145751953,-5.436906814575195
bear,kingfisher,-2.7199668884277344,-5.594966888427734
bear,woodpecker,-2.4296531677246094,-5.179653167724609
bear,emu,-2.5634517669677734,-5.313451766967773
bear,ostrich,-2.5017929077148438,-5.251792907714844
bear,carp,-2.3384952545166016,-5.338495254516602
bear,goldfish,-2.6038475036621094,-5.228847503662109
bear,minnow,-2.380901336669922,-5.505901336669922
bear,cod,-2.1725692749023438,-5.235069274902344
bear,herring,-2.7126102447509766,-5.087610244750977
bear,sardine,-2.6586437225341797,-5.28364372253418
bear,salmon,-2.484020233154297,-5.109020233154297
bear,trout,-2.4910125732421875,-5.3660125732421875
bear,eel,-2.5634613037109375,-5.1884613037109375
bear,flounder,-2.529909133911133,-5.529909133911133
bear,mackerel,-2.496662139892578,-5.496662139892578
bear,tuna,-2.5374393463134766,-5.287439346313477
bear,seahorse,-2.6595630645751953,-5.284563064575195
bear,shark,-2.51617431640625,-5.14117431640625
bear,bee,-2.6352596282958984,-5.135259628295898
bear,hornet,-2.5792198181152344,-5.204219818115234
bear,wasp,-2.3944053649902344,-5.144405364990234
bear,ant,-2.5858192443847656,-5.085819244384766
bear,beetle,-2.5478992462158203,-5.29789924621582
bear,ladybird,-2.852794647216797,-4.477794647216797
bear,butterfly,-2.583341598510742,-5.458341598510742
bear,moth,-2.3225135803222656,-5.322513580322266
bear,cockroach,-2.3580894470214844,-5.108089447021484
bear,cricket,-2.5774917602539062,-5.077491760253906
bear,grasshopper,-2.440563201904297,-5.315563201904297
bear,locust,-2.6088638305664062,-5.233863830566406
bear,dragonfly,-2.6069793701171875,-5.4819793701171875
bear,flea,-2.588895797729492,-5.338895797729492
bear,housefly,-2.3836326599121094,-5.508632659912109
bear,mosquito,-2.5332794189453125,-5.1582794189453125
bear,stick_insect,-2.4985504150390625,-5.4985504150390625
bear,termite,-2.5349864959716797,-5.40998649597168
bear,centipede,-2.4330997467041016,-5.433099746704102
bear,millipede,-2.423023223876953,-5.548023223876953
bear,scorpion,-2.4358997344970703,-5.18589973449707
bear,spider,-2.4800357818603516,-5.105035781860352
bear,tarantula,-2.4933528900146484,-5.618352890014648
bear,crab,-2.4176368713378906,-5.167636871337891
bear,crayfish,-2.328289031982422,-5.578289031982422
bear,lobster,-2.5721282958984375,-5.4471282958984375
bear,prawn,-2.5927886962890625,-4.9677886962890625
bear,shrimp,-2.4921531677246094,-4.992153167724609
bear,slug,-2.691495895385742,-5.316495895385742
bear,snail,-2.6246604919433594,-5.249660491943359
bear,clam,-2.4019527435302734,-5.589452743530273
bear,mussel,-2.3304100036621094,-5.205410003662109
bear,scallop,-2.5454463958740234,-5.545446395874023
bear,oyster,-2.4734745025634766,-5.348474502563477
bear,squid,-2.5648021697998047,-5.314802169799805
bear,octopus,-2.5444774627685547,-5.544477462768555
bear,worm,-2.478971481323242,-5.478971481323242
bear,jellyfish,-2.5706005096435547,-5.320600509643555
cat,bat,-2.5939483642578125,-5.0939483642578125
cat,bear,-2.534841537475586,-5.034841537475586
cat,cheetah,-2.618196487426758,-5.243196487426758
cat,leopard,-2.3877410888671875,-5.0127410888671875
cat,lion,-2.443544387817383,-5.068544387817383
cat,panther,-2.4321060180664062,-5.057106018066406
cat,tiger,-2.4675960540771484,-5.092596054077148
cat,dog,-2.5589332580566406,-4.808933258056641
cat,fox,-2.4167308807373047,-4.916730880737305
cat,hyena,-2.6071014404296875,-4.9821014404296875
cat,wolf,-2.460695266723633,-4.960695266723633
cat,raccoon,-2.2999019622802734,-5.049901962280273
cat,skunk,-2.525918960571289,-5.025918960571289
cat,otter,-2.5796756744384766,-5.204675674438477
cat,beaver,-2.6285972595214844,-5.253597259521484
cat,chipmunk,-2.528158187866211,-5.153158187866211
cat,squirrel,-2.528470993041992,-4.903470993041992
cat,gerbil,-2.6672725677490234,-5.292272567749023
cat,guinea_pig,-2.5786304473876953,-5.078630447387695
cat,hamster,-2.5041637420654297,-5.00416374206543
cat,mouse,-2.440092086791992,-4.940092086791992
cat,porcupine,-2.581409454345703,-5.206409454345703
cat,rat,-2.5550670623779297,-4.93006706237793
cat,buffalo,-2.6656742095947266,-4.665674209594727
cat,cow,-2.5868072509765625,-4.8368072509765625
cat,ox,-2.4916553497314453,-5.116655349731445
cat,goat,-2.518524169921875,-4.768524169921875
cat,sheep,-2.608400344848633,-4.983400344848633
cat,deer,-2.4331798553466797,-4.93317985534668
cat,moose,-2.514680862426758,-5.139680862426758
cat,giraffe,-2.651590347290039,-5.026590347290039
cat,camel,-2.524555206298828,-5.024555206298828
cat,hippo,-2.621511459350586,-5.121511459350586
cat,llama,-2.5917491912841797,-4.84174919128418
cat,pig,-2.6125030517578125,-4.8625030517578125
cat,donkey,-2.557191848754883,-5.057191848754883
cat,horse,-2.4513187408447266,-4.826318740844727
cat,pony,-2.6620140075683594,-5.037014007568359
cat,zebra,-2.7266693115234375,-4.9766693115234375
cat,rhino,-2.6671581268310547,-5.042158126831055
cat,gorilla,-2.625324249267578,-5.125324249267578
cat,monkey,-2.7342662811279297,-4.85926628112793
cat,hedgehog,-2.548755645751953,-4.923755645751953
cat,rabbit,-2.4555606842041016,-4.955560684204102
cat,seal,-2.4634361267089844,-4.838436126708984
cat,walrus,-2.7175655364990234,-5.092565536499023
cat,dolphin,-2.7359447479248047,-5.110944747924805
cat,whale,-2.4684371948242188,-5.093437194824219
cat,elephant,-2.6587905883789062,-5.158790588378906
cat,kangaroo,-2.7150650024414062,-5.215065002441406
cat,platypus,-2.7148876190185547,-5.214887619018555
cat,crocodile,-2.4505443572998047,-5.200544357299805
cat,alligator,-2.6084556579589844,-5.108455657958984
cat,lizard,-2.512136459350586,-4.887136459350586
cat,iguana,-2.5010604858398438,-5.126060485839844
cat,rattlesnake,-2.5171890258789062,-4.892189025878906
cat,tortoise,-2.616109848022461,-4.991109848022461
cat,turtle,-2.553821563720703,-4.928821563720703
cat,frog,-2.5125484466552734,-4.887548446655273
cat,toad,-2.602121353149414,-5.102121353149414
cat,budgie,-2.6580982208251953,-4.658098220825195
cat,parakeet,-2.6472835540771484,-5.022283554077148
cat,buzzard,-2.389577865600586,-5.139577865600586
cat,falcon,-2.6376399993896484,-5.137639999389648
cat,hawk,-2.5306358337402344,-4.905635833740234
cat,eagle,-2.605388641357422,-5.105388641357422
cat,owl,-2.456838607788086,-4.831838607788086
cat,canary,-2.6763439178466797,-5.30134391784668
cat,magpie,-2.862447738647461,-4.987447738647461
cat,raven,-2.5550060272216797,-4.93000602722168
cat,nightingale,-2.6472015380859375,-4.6472015380859375
cat,robin,-2.843770980834961,-5.218770980834961
cat,starling,-2.5478477478027344,-5.172847747802734
cat,sparrow,-2.6098384857177734,-4.984838485717773
cat,wren,-2.664539337158203,-5.164539337158203
cat,chicken,-2.5670928955078125,-4.9420928955078125
cat,cockerel,-2.4728946685791016,-4.347894668579102
cat,turkey,-2.5780258178710938,-5.203025817871094
cat,dove,-2.584064483642578,-4.834064483642578
cat,pigeon,-2.5216617584228516,-4.896661758422852
cat,partridge,-2.4816417694091797,-4.85664176940918
cat,peacock,-2.528055191040039,-4.778055191040039
cat,crane,-2.645721435546875,-4.895721435546875
cat,flamingo,-2.7259349822998047,-5.100934982299805
cat,heron,-2.4586315155029297,-4.95863151550293
cat,duck,-2.549030303955078,-5.049030303955078
cat,goose,-2.6095218658447266,-4.859521865844727
cat,pelican,-2.6323204040527344,-5.132320404052734
cat,penguin,-2.672994613647461,-4.922994613647461
cat,seagull,-2.5395565032958984,-4.914556503295898
cat,swan,-2.586820602416992,-5.086820602416992
cat,hummingbird,-2.4846725463867188,-5.234672546386719
cat,kingfisher,-2.7887039184570312,-5.351203918457031
cat,woodpecker,-2.575960159301758,-5.075960159301758
cat,emu,-2.6196460723876953,-5.119646072387695
cat,ostrich,-2.6452808380126953,-5.145280838012695
cat,carp,-2.423084259033203,-5.173084259033203
cat,goldfish,-2.6657066345214844,-4.915706634521484
cat,minnow,-2.521392822265625,-5.146392822265625
cat,cod,-2.5335636138916016,-5.033563613891602
cat,herring,-2.6884307861328125,-4.5634307861328125
cat,sardine,-2.619770050048828,-4.994770050048828
cat,salmon,-2.448240280151367,-4.948240280151367
cat,trout,-2.443216323852539,-5.193216323852539
cat,eel,-2.5869827270507812,-4.836982727050781
cat,flounder,-2.786214828491211,-4.911214828491211
cat,mackerel,-2.4296226501464844,-4.929622650146484
cat,tuna,-2.5177955627441406,-4.892795562744141
cat,seahorse,-2.6069393157958984,-4.981939315795898
cat,shark,-2.510498046875,-4.885498046875
cat,bee,-2.5297508239746094,-4.904750823974609
cat,hornet,-2.6698341369628906,-5.044834136962891
cat,wasp,-2.548250198364258,-4.798250198364258
cat,ant,-2.656270980834961,-4.906270980834961
cat,beetle,-2.613239288330078,-4.988239288330078
cat,ladybird,-2.7619552612304688,-4.136955261230469
cat,butterfly,-2.6338138580322266,-4.883813858032227
cat,moth,-2.4014225006103516,-5.026422500610352
cat,cockroach,-2.3887062072753906,-4.763706207275391
cat,cricket,-2.599496841430664,-4.974496841430664
cat,grasshopper,-2.4216251373291016,-5.296625137329102
cat,locust,-2.6781368255615234,-5.178136825561523
cat,dragonfly,-2.6288719177246094,-5.128871917724609
cat,flea,-2.3903141021728516,-4.890314102172852
cat,housefly,-2.4290390014648438,-5.179039001464844
cat,mosquito,-2.627185821533203,-4.877185821533203
cat,stick_insect,-2.694774627685547,-5.069774627685547
cat,termite,-2.563457489013672,-5.188457489013672
cat,centipede,-2.4561614990234375,-5.0811614990234375
cat,millipede,-2.4660682678222656,-5.403568267822266
cat,scorpion,-2.4845848083496094,-4.859584808349609
cat,spider,-2.646343231201172,-4.896343231201172
cat,tarantula,-2.480844497680664,-5.355844497680664
cat,crab,-2.5368003845214844,-5.036800384521484
cat,crayfish,-2.4274768829345703,-5.23997688293457
cat,lobster,-2.573518753051758,-5.073518753051758
cat,prawn,-2.6579322814941406,-4.407932281494141
cat,shrimp,-2.6105270385742188,-4.360527038574219
cat,slug,-2.6918182373046875,-5.0668182373046875
cat,snail,-2.5916709899902344,-4.966670989990234
cat,clam,-2.602327346801758,-5.352327346801758
cat,mussel,-2.5645828247070312,-4.939582824707031
cat,scallop,-2.5141372680664062,-5.139137268066406
cat,oyster,-2.5189361572265625,-5.0189361572265625
cat,squid,-2.5504684448242188,-4.925468444824219
cat,octopus,-2.598794937133789,-5.223794937133789
cat,worm,-2.6411495208740234,-5.016149520874023
cat,jellyfish,-2.543550491333008,-5.168550491333008
cheetah,bat,-2.4507179260253906,-5.325717926025391
cheetah,bear,-2.6356353759765625,-5.1356353759765625
cheetah,cat,-2.5006046295166016,-5.250604629516602
cheetah,leopard,-2.609395980834961,-5.234395980834961
cheetah,lion,-2.614595413208008,-5.114595413208008
cheetah,panther,-2.448923110961914,-5.198923110961914
cheetah,tiger,-2.6105289459228516,-5.360528945922852
cheetah,dog,-2.507509231567383,-5.132509231567383
cheetah,fox,-2.4918670654296875,-5.1168670654296875
cheetah,hyena,-2.5144424438476562,-5.139442443847656
cheetah,wolf,-2.4826698303222656,-5.107669830322266
cheetah,raccoon,-2.305278778076172,-5.180278778076172
cheetah,skunk,-2.359485626220703,-5.234485626220703
cheetah,otter,-2.558137893676758,-5.308137893676758
cheetah,beaver,-2.4927005767822266,-5.492700576782227
cheetah,chipmunk,-2.5150394439697266,-5.265039443969727
cheetah,squirrel,-2.514127731323242,-5.264127731323242
cheetah,gerbil,-2.5671653747558594,-5.442165374755859
cheetah,guinea_pig,-2.7047252655029297,-5.45472526550293
cheetah,hamster,-2.4882164001464844,-5.488216400146484
cheetah,mouse,-2.3800811767578125,-5.3800811767578125
cheetah,porcupine,-2.4464855194091797,-5.44648551940918
cheetah,rat,-2.549558639526367,-5.299558639526367
cheetah,buffalo,-2.6343612670898438,-5.134361267089844
cheetah,cow,-2.516775131225586,-5.266775131225586
cheetah,ox,-2.3700942993164062,-5.495094299316406
cheetah,goat,-2.5894088745117188,-5.339408874511719
cheetah,sheep,-2.469402313232422,-5.344402313232422
cheetah,deer,-2.394865036010742,-5.144865036010742
cheetah,moose,-2.492715835571289,-5.367715835571289
cheetah,giraffe,-2.523164749145508,-5.148164749145508
cheetah,camel,-2.592966079711914,-5.467966079711914
cheetah,hippo,-2.4251766204833984,-5.175176620483398
cheetah,llama,-2.518697738647461,-5.268697738647461
cheetah,pig,-2.6704940795898438,-5.295494079589844
cheetah,donkey,-2.6749401092529297,-5.17494010925293
cheetah,horse,-2.5995254516601562,-5.224525451660156
cheetah,pony,-2.6100234985351562,-5.360023498535156
cheetah,zebra,-2.485950469970703,-5.235950469970703
cheetah,rhino,-2.704662322998047,-5.204662322998047
cheetah,gorilla,-2.526773452758789,-5.401773452758789
cheetah,monkey,-2.6765613555908203,-5.55156135559082
cheetah,hedgehog,-2.5098342895507812,-5.134834289550781
cheetah,rabbit,-2.485187530517578,-5.235187530517578
cheetah,seal,-2.5186405181884766,-5.393640518188477
cheetah,walrus,-2.6715164184570312,-5.296516418457031
cheetah,dolphin,-2.6245861053466797,-5.24958610534668
cheetah,whale,-2.5924720764160156,-5.342472076416016
cheetah,elephant,-2.6206092834472656,-5.370609283447266
cheetah,kangaroo,-2.537454605102539,-5.287454605102539
cheetah,platypus,-2.476194381713867,-5.476194381713867
cheetah,crocodile,-2.4823856353759766,-5.232385635375977
cheetah,alligator,-2.5956573486328125,-5.2206573486328125
cheetah,lizard,-2.5217227935791016,-5.271722793579102
cheetah,iguana,-2.712526321411133,-5.712526321411133
cheetah,rattlesnake,-2.3218612670898438,-5.071861267089844
cheetah,tortoise,-2.389169692993164,-5.139169692993164
cheetah,turtle,-2.607664108276367,-5.232664108276367
cheetah,frog,-2.612630844116211,-5.362630844116211
cheetah,toad,-2.4636154174804688,-5.213615417480469
cheetah,budgie,-2.5774478912353516,-5.202447891235352
cheetah,parakeet,-2.4018592834472656,-5.401859283447266
cheetah,buzzard,-2.3871707916259766,-5.262170791625977
cheetah,falcon,-2.446023941040039,-5.196023941040039
cheetah,hawk,-2.5136852264404297,-5.26368522644043
cheetah,eagle,-2.5314064025878906,-5.156406402587891
cheetah,owl,-2.500102996826172,-5.500102996826172
cheetah,canary,-2.5165443420410156,-5.516544342041016
cheetah,magpie,-2.5964736938476562,-5.471473693847656
cheetah,raven,-2.53765869140625,-5.16265869140625
cheetah,nightingale,-2.5564727783203125,-4.8064727783203125
cheetah,robin,-2.564136505126953,-5.689136505126953
cheetah,starling,-2.326568603515625,-5.451568603515625
cheetah,sparrow,-2.548046112060547,-5.298046112060547
cheetah,wren,-2.535612106323242,-5.535612106323242
cheetah,chicken,-2.6239013671875,-5.4989013671875
cheetah,cockerel,-2.4630203247070312,-5.088020324707031
cheetah,turkey,-2.473733901977539,-5.598733901977539
cheetah,dove,-2.5161495208740234,-5.516149520874023
cheetah,pigeon,-2.4802093505859375,-5.3552093505859375
cheetah,partridge,-2.3398799896240234,-5.089879989624023
cheetah,peacock,-2.6676025390625,-5.2926025390625
cheetah,crane,-2.4563369750976562,-5.331336975097656
cheetah,flamingo,-2.610818862915039,-5.235818862915039
cheetah,heron,-2.426422119140625,-5.301422119140625
cheetah,duck,-2.5169296264648438,-5.141929626464844
cheetah,goose,-2.554218292236328,-5.554218292236328
cheetah,pelican,-2.4437084197998047,-5.443708419799805
cheetah,penguin,-2.602947235107422,-5.602947235107422
cheetah,seagull,-2.613140106201172,-5.238140106201172
cheetah,swan,-2.7064361572265625,-5.5814361572265625
cheetah,hummingbird,-2.2666969299316406,-5.579196929931641
