idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
42,mirror,home decor,electronic device,mirrors are a type of home decor,mirrors are a type of electronic device
43,mirror,home decor,bird,mirrors are a type of home decor,mirrors are a type of bird
44,mirror,home decor,toiletry,mirrors are a type of home decor,mirrors are a type of toiletry
45,brownie,food,weapon,brownies are a type of food,brownies are a type of weapon
46,brownie,food,candy,brownies are a type of food,brownies are a type of candy
47,brownie,food,seafood,brownies are a type of food,brownies are a type of seafood
48,brownie,food,toy,brownies are a type of food,brownies are a type of toy
49,brownie,dessert,condiment,brownies are a type of dessert,brownies are a type of condiment
50,brownie,dessert,auto part,brownies are a type of dessert,brownies are a type of auto part
51,brownie,dessert,furniture,brownies are a type of dessert,brownies are a type of furniture
52,brownie,dessert,drink,brownies are a type of dessert,brownies are a type of drink
53,stingray,sea animal,garden tool,stingrays are a type of sea animal,stingrays are a type of garden tool
54,stingray,sea animal,headwear,stingrays are a type of sea animal,stingrays are a type of headwear
55,stingray,sea animal,school supply,stingrays are a type of sea animal,stingrays are a type of school supply
56,stingray,sea animal,food,stingrays are a type of sea animal,stingrays are a type of food
57,stingray,animal,home decor,stingrays are a type of animal,stingrays are a type of home decor
58,stingray,animal,livestock,stingrays are a type of animal,stingrays are a type of livestock
59,stingray,animal,electronic device,stingrays are a type of animal,stingrays are a type of electronic device
60,stingray,animal,jewelry,stingrays are a type of animal,stingrays are a type of jewelry
61,flower,plant,insect,flowers are a type of plant,flowers are a type of insect
62,flower,plant,accessory,flowers are a type of plant,flowers are a type of accessory
63,flower,plant,clothing,flowers are a type of plant,flowers are a type of clothing
64,flower,plant,animal,flowers are a type of plant,flowers are a type of animal
65,burrito,food,accessory,burritos are a type of food,burritos are a type of accessory
66,burrito,food,jewelry,burritos are a type of food,burritos are a type of jewelry
67,burrito,food,fruit,burritos are a type of food,burritos are a type of fruit
68,burrito,food,musical instrument,burritos are a type of food,burritos are a type of musical instrument
69,coffee bean,food,outerwear,coffee beans are a type of food,coffee beans are a type of outerwear
70,coffee bean,food,bird,coffee beans are a type of food,coffee beans are a type of bird
71,coffee bean,food,kitchen tool,coffee beans are a type of food,coffee beans are a type of kitchen tool
72,coffee bean,food,sea animal,coffee beans are a type of food,coffee beans are a type of sea animal
73,jackhammer,electronic device,drink,jackhammers are a type of electronic device,jackhammers are a type of drink
74,jackhammer,electronic device,insect,jackhammers are a type of electronic device,jackhammers are a type of insect
75,jackhammer,electronic device,sea animal,jackhammers are a type of electronic device,jackhammers are a type of sea animal
76,jackhammer,electronic device,container,jackhammers are a type of electronic device,jackhammers are a type of container
77,jackhammer,tool,animal,jackhammers are a type of tool,jackhammers are a type of animal
78,jackhammer,tool,food,jackhammers are a type of tool,jackhammers are a type of food
79,jackhammer,tool,jewelry,jackhammers are a type of tool,jackhammers are a type of jewelry
80,jackhammer,tool,garden tool,jackhammers are a type of tool,jackhammers are a type of garden tool
81,rolling pin,tool,electronic device,rolling pins are a type of tool,rolling pins are a type of electronic device
82,rolling pin,tool,women's clothing,rolling pins are a type of tool,rolling pins are a type of women's clothes
83,rolling pin,tool,water vehicle,rolling pins are a type of tool,rolling pins are a type of water vehicle
84,rolling pin,tool,fastener,rolling pins are a type of tool,rolling pins are a type of fastener
85,rolling pin,kitchen tool,candy,rolling pins are a type of kitchen tool,rolling pins are a type of candy
86,rolling pin,kitchen tool,bird,rolling pins are a type of kitchen tool,rolling pins are a type of bird
87,rolling pin,kitchen tool,condiment,rolling pins are a type of kitchen tool,rolling pins are a type of condiment
88,rolling pin,kitchen tool,food,rolling pins are a type of kitchen tool,rolling pins are a type of food
89,kite,toy,vegetable,kites are a type of toy,kites are a type of vegetable
90,kite,toy,water vehicle,kites are a type of toy,kites are a type of water vehicle
91,kite,toy,condiment,kites are a type of toy,kites are a type of condiment
92,kite,toy,women's clothing,kites are a type of toy,kites are a type of women's clothes
93,bus,vehicle,toy,buses are a type of vehicle,buses are a type of toy
94,bus,vehicle,sea animal,buses are a type of vehicle,buses are a type of sea animal
95,bus,vehicle,game,buses are a type of vehicle,buses are a type of game
96,bus,vehicle,footwear,buses are a type of vehicle,buses are a type of footwear
97,glove,accessory,vegetable,gloves are a type of accessory,gloves are a type of vegetable
98,glove,accessory,school supply,gloves are a type of accessory,gloves are a type of school supply
99,glove,accessory,women's clothing,gloves are a type of accessory,gloves are a type of women's clothes
100,glove,accessory,kitchen tool,gloves are a type of accessory,gloves are a type of kitchen tool
101,glove,clothing,electronic device,gloves are a type of clothing,gloves are a type of electronic device
102,glove,clothing,office supply,gloves are a type of clothing,gloves are a type of office supply
103,glove,clothing,game,gloves are a type of clothing,gloves are a type of game
104,glove,clothing,fastener,gloves are a type of clothing,gloves are a type of fastener
105,glove,outerwear,insect,gloves are a type of outerwear,gloves are a type of insect
106,glove,outerwear,tool,gloves are a type of outerwear,gloves are a type of tool
107,glove,outerwear,vegetable,gloves are a type of outerwear,gloves are a type of vegetable
108,glove,outerwear,dessert,gloves are a type of outerwear,gloves are a type of dessert
109,glove,protective clothing,sea animal,gloves are a type of protective clothing,gloves are a type of sea animal
110,glove,protective clothing,condiment,gloves are a type of protective clothing,gloves are a type of condiment
111,glove,protective clothing,container,gloves are a type of protective clothing,gloves are a type of container
112,glove,protective clothing,musical instrument,gloves are a type of protective clothing,gloves are a type of musical instrument
113,fish,sea animal,kitchen tool,fish are a type of sea animal,fish are a type of kitchen tool
114,fish,sea animal,weapon,fish are a type of sea animal,fish are a type of weapon
115,fish,sea animal,insect,fish are a type of sea animal,fish are a type of insect
116,fish,sea animal,kitchen equipment,fish are a type of sea animal,fish are a type of kitchen equipment
117,fish,animal,candy,fish are a type of animal,fish are a type of candy
118,fish,animal,accessory,fish are a type of animal,fish are a type of accessory
119,fish,animal,medical equipment,fish are a type of animal,fish are a type of medical equipment
120,fish,animal,water vehicle,fish are a type of animal,fish are a type of water vehicle
121,fish,seafood,game,fish are a type of seafood,fish are a type of game
122,fish,seafood,tool,fish are a type of seafood,fish are a type of tool
123,fish,seafood,accessory,fish are a type of seafood,fish are a type of accessory
124,fish,seafood,garden tool,fish are a type of seafood,fish are a type of garden tool
125,fish,food,plant,fish are a type of food,fish are a type of plant
126,fish,food,vegetable,fish are a type of food,fish are a type of vegetable
127,fish,food,drink,fish are a type of food,fish are a type of drink
128,fish,food,office supply,fish are a type of food,fish are a type of office supply
129,lawnmower,garden tool,vegetable,lawnmowers are a type of garden tool,lawnmowers are a type of vegetable
130,lawnmower,garden tool,drink,lawnmowers are a type of garden tool,lawnmowers are a type of drink
131,lawnmower,garden tool,fruit,lawnmowers are a type of garden tool,lawnmowers are a type of fruit
132,lawnmower,garden tool,auto part,lawnmowers are a type of garden tool,lawnmowers are a type of auto part
133,hat,clothing,footwear,hats are a type of clothing,hats are a type of footwear
134,hat,clothing,plant,hats are a type of clothing,hats are a type of plant
135,hat,clothing,dessert,hats are a type of clothing,hats are a type of dessert
136,hat,clothing,outerwear,hats are a type of clothing,hats are a type of outerwear
137,hat,accessory,bird,hats are a type of accessory,hats are a type of bird
138,hat,accessory,food,hats are a type of accessory,hats are a type of food
139,hat,accessory,dessert,hats are a type of accessory,hats are a type of dessert
140,hat,accessory,footwear,hats are a type of accessory,hats are a type of footwear
141,hat,headwear,container,hats are a type of headwear,hats are a type of container
142,hat,headwear,condiment,hats are a type of headwear,hats are a type of condiment
143,hat,headwear,water vehicle,hats are a type of headwear,hats are a type of water vehicle
144,hat,headwear,medical equipment,hats are a type of headwear,hats are a type of medical equipment
145,skateboard,vehicle,drink,skateboards are a type of vehicle,skateboards are a type of drink
146,skateboard,vehicle,school supply,skateboards are a type of vehicle,skateboards are a type of school supply
147,skateboard,vehicle,clothing,skateboards are a type of vehicle,skateboards are a type of clothing
148,skateboard,vehicle,weapon,skateboards are a type of vehicle,skateboards are a type of weapon
149,skateboard,toy,candy,skateboards are a type of toy,skateboards are a type of candy
150,skateboard,toy,school supply,skateboards are a type of toy,skateboards are a type of school supply
151,skateboard,toy,medical equipment,skateboards are a type of toy,skateboards are a type of medical equipment
152,skateboard,toy,plant,skateboards are a type of toy,skateboards are a type of plant
153,balloon,toy,fastener,balloons are a type of toy,balloons are a type of fastener
154,balloon,toy,fruit,balloons are a type of toy,balloons are a type of fruit
155,balloon,toy,outerwear,balloons are a type of toy,balloons are a type of outerwear
156,balloon,toy,condiment,balloons are a type of toy,balloons are a type of condiment
157,gondola,vehicle,footwear,gondolas are a type of vehicle,gondolas are a type of footwear
158,gondola,vehicle,women's clothing,gondolas are a type of vehicle,gondolas are a type of women's clothes
159,gondola,vehicle,jewelry,gondolas are a type of vehicle,gondolas are a type of jewelry
160,gondola,vehicle,office supply,gondolas are a type of vehicle,gondolas are a type of office supply
161,gondola,water vehicle,kitchen tool,gondolas are a type of water vehicle,gondolas are a type of kitchen tool
162,gondola,water vehicle,electronic device,gondolas are a type of water vehicle,gondolas are a type of electronic device
163,gondola,water vehicle,container,gondolas are a type of water vehicle,gondolas are a type of container
164,gondola,water vehicle,jewelry,gondolas are a type of water vehicle,gondolas are a type of jewelry
165,tank,tool,mammal,tanks are a type of tool,tanks are a type of mammal
166,tank,tool,livestock,tanks are a type of tool,tanks are a type of livestock
167,tank,tool,toy,tanks are a type of tool,tanks are a type of toy
168,tank,tool,medical equipment,tanks are a type of tool,tanks are a type of medical equipment
169,tank,container,accessory,tanks are a type of container,tanks are a type of accessory
170,tank,container,toy,tanks are a type of container,tanks are a type of toy
171,tank,container,musical instrument,tanks are a type of container,tanks are a type of musical instrument
172,tank,container,dessert,tanks are a type of container,tanks are a type of dessert
173,tank,weapon,sea animal,tanks are a type of weapon,tanks are a type of sea animal
174,tank,weapon,auto part,tanks are a type of weapon,tanks are a type of auto part
175,tank,weapon,bird,tanks are a type of weapon,tanks are a type of bird
176,tank,weapon,fastener,tanks are a type of weapon,tanks are a type of fastener
177,van,vehicle,dessert,vans are a type of vehicle,vans are a type of dessert
178,van,vehicle,food,vans are a type of vehicle,vans are a type of food
179,van,vehicle,plant,vans are a type of vehicle,vans are a type of plant
180,van,vehicle,kitchen tool,vans are a type of vehicle,vans are a type of kitchen tool
181,sweater,clothing,seafood,sweaters are a type of clothing,sweaters are a type of seafood
182,sweater,clothing,women's clothing,sweaters are a type of clothing,sweaters are a type of women's clothes
183,sweater,clothing,musical instrument,sweaters are a type of clothing,sweaters are a type of musical instrument
184,sweater,clothing,food,sweaters are a type of clothing,sweaters are a type of food
185,pug,mammal,office supply,pugs are a type of mammal,pugs are a type of office supply
186,pug,mammal,furniture,pugs are a type of mammal,pugs are a type of furniture
187,pug,mammal,outerwear,pugs are a type of mammal,pugs are a type of outerwear
188,pug,mammal,school supply,pugs are a type of mammal,pugs are a type of school supply
189,pug,animal,tool,pugs are a type of animal,pugs are a type of tool
190,pug,animal,toy,pugs are a type of animal,pugs are a type of toy
191,pug,animal,auto part,pugs are a type of animal,pugs are a type of auto part
192,pug,animal,footwear,pugs are a type of animal,pugs are a type of footwear
193,maggot,animal,livestock,maggots are a type of animal,maggots are a type of livestock
194,maggot,animal,office supply,maggots are a type of animal,maggots are a type of office supply
195,maggot,animal,outerwear,maggots are a type of animal,maggots are a type of outerwear
196,maggot,animal,kitchen tool,maggots are a type of animal,maggots are a type of kitchen tool
197,fruitcake,dessert,kitchen equipment,fruitcakes are a type of dessert,fruitcakes are a type of kitchen equipment
198,fruitcake,dessert,women's clothing,fruitcakes are a type of dessert,fruitcakes are a type of women's clothes
199,fruitcake,dessert,school supply,fruitcakes are a type of dessert,fruitcakes are a type of school supply
200,fruitcake,dessert,jewelry,fruitcakes are a type of dessert,fruitcakes are a type of jewelry
201,fruitcake,food,women's clothing,fruitcakes are a type of food,fruitcakes are a type of women's clothes
202,fruitcake,food,furniture,fruitcakes are a type of food,fruitcakes are a type of furniture
203,fruitcake,food,protective clothing,fruitcakes are a type of food,fruitcakes are a type of protective clothing
204,fruitcake,food,candy,fruitcakes are a type of food,fruitcakes are a type of candy
205,yo-yo,game,outerwear,yo-yos are a type of game,yo-yos are a type of outerwear
206,yo-yo,game,animal,yo-yos are a type of game,yo-yos are a type of animal
207,yo-yo,game,medical equipment,yo-yos are a type of game,yo-yos are a type of medical equipment
208,yo-yo,game,livestock,yo-yos are a type of game,yo-yos are a type of livestock
209,yo-yo,toy,livestock,yo-yos are a type of toy,yo-yos are a type of livestock
210,yo-yo,toy,accessory,yo-yos are a type of toy,yo-yos are a type of accessory
211,yo-yo,toy,insect,yo-yos are a type of toy,yo-yos are a type of insect
212,yo-yo,toy,candy,yo-yos are a type of toy,yo-yos are a type of candy
213,peg,tool,garden tool,pegs are a type of tool,pegs are a type of garden tool
214,peg,tool,dessert,pegs are a type of tool,pegs are a type of dessert
215,peg,tool,electronic device,pegs are a type of tool,pegs are a type of electronic device
216,peg,tool,kitchen equipment,pegs are a type of tool,pegs are a type of kitchen equipment
217,peg,fastener,women's clothing,pegs are a type of fastener,pegs are a type of women's clothes
218,peg,fastener,vegetable,pegs are a type of fastener,pegs are a type of vegetable
219,peg,fastener,candy,pegs are a type of fastener,pegs are a type of candy
220,peg,fastener,protective clothing,pegs are a type of fastener,pegs are a type of protective clothing
221,seaweed,seafood,water vehicle,seaweeds are a type of seafood,seaweeds are a type of water vehicle
222,seaweed,seafood,container,seaweeds are a type of seafood,seaweeds are a type of container
223,seaweed,seafood,furniture,seaweeds are a type of seafood,seaweeds are a type of furniture
224,seaweed,seafood,clothing,seaweeds are a type of seafood,seaweeds are a type of clothing
225,seaweed,food,office supply,seaweeds are a type of food,seaweeds are a type of office supply
226,seaweed,food,vehicle,seaweeds are a type of food,seaweeds are a type of vehicle
227,seaweed,food,fruit,seaweeds are a type of food,seaweeds are a type of fruit
228,seaweed,food,protective clothing,seaweeds are a type of food,seaweeds are a type of protective clothing
229,seaweed,plant,school supply,seaweeds are a type of plant,seaweeds are a type of school supply
230,seaweed,plant,container,seaweeds are a type of plant,seaweeds are a type of container
231,seaweed,plant,game,seaweeds are a type of plant,seaweeds are a type of game
232,seaweed,plant,vehicle,seaweeds are a type of plant,seaweeds are a type of vehicle
233,teapot,container,garden tool,teapots are a type of container,teapots are a type of garden tool
234,teapot,container,vehicle,teapots are a type of container,teapots are a type of vehicle
235,teapot,container,game,teapots are a type of container,teapots are a type of game
236,teapot,container,fruit,teapots are a type of container,teapots are a type of fruit
237,wedding cake,food,garden tool,wedding cakes are a type of food,wedding cakes are a type of garden tool
238,wedding cake,food,plant,wedding cakes are a type of food,wedding cakes are a type of plant
239,wedding cake,food,livestock,wedding cakes are a type of food,wedding cakes are a type of livestock
240,wedding cake,food,drink,wedding cakes are a type of food,wedding cakes are a type of drink
241,wedding cake,dessert,tool,wedding cakes are a type of dessert,wedding cakes are a type of tool
242,wedding cake,dessert,insect,wedding cakes are a type of dessert,wedding cakes are a type of insect
243,wedding cake,dessert,bird,wedding cakes are a type of dessert,wedding cakes are a type of bird
244,wedding cake,dessert,sea animal,wedding cakes are a type of dessert,wedding cakes are a type of sea animal
245,bread,food,fruit,bread is a type of food,bread is a type of fruit
246,bread,food,condiment,bread is a type of food,bread is a type of condiment
247,bread,food,garden tool,bread is a type of food,bread is a type of garden tool
248,bread,food,footwear,bread is a type of food,bread is a type of footwear
249,breadstick,food,fruit,breadsticks are a type of food,breadsticks are a type of fruit
250,breadstick,food,toy,breadsticks are a type of food,breadsticks are a type of toy
251,breadstick,food,dessert,breadsticks are a type of food,breadsticks are a type of dessert
252,breadstick,food,toiletry,breadsticks are a type of food,breadsticks are a type of toiletry
253,dumpling,food,condiment,dumplings are a type of food,dumplings are a type of condiment
254,dumpling,food,medical equipment,dumplings are a type of food,dumplings are a type of medical equipment
255,dumpling,food,electronic device,dumplings are a type of food,dumplings are a type of electronic device
256,dumpling,food,insect,dumplings are a type of food,dumplings are a type of insect
257,cougar,animal,musical instrument,cougars are a type of animal,cougars are a type of musical instrument
258,cougar,animal,electronic device,cougars are a type of animal,cougars are a type of electronic device
259,cougar,animal,footwear,cougars are a type of animal,cougars are a type of footwear
260,cougar,animal,water vehicle,cougars are a type of animal,cougars are a type of water vehicle
261,cougar,mammal,footwear,cougars are a type of mammal,cougars are a type of footwear
262,cougar,mammal,food,cougars are a type of mammal,cougars are a type of food
263,cougar,mammal,fastener,cougars are a type of mammal,cougars are a type of fastener
264,cougar,mammal,bird,cougars are a type of mammal,cougars are a type of bird
265,boar,mammal,vegetable,boars are a type of mammal,boars are a type of vegetable
266,boar,mammal,musical instrument,boars are a type of mammal,boars are a type of musical instrument
267,boar,mammal,tool,boars are a type of mammal,boars are a type of tool
268,boar,mammal,plant,boars are a type of mammal,boars are a type of plant
269,boar,animal,drink,boars are a type of animal,boars are a type of drink
270,boar,animal,food,boars are a type of animal,boars are a type of food
271,boar,animal,kitchen tool,boars are a type of animal,boars are a type of kitchen tool
272,boar,animal,dessert,boars are a type of animal,boars are a type of dessert
273,school bus,vehicle,kitchen tool,school buses are a type of vehicle,school buses are a type of kitchen tool
274,school bus,vehicle,animal,school buses are a type of vehicle,school buses are a type of animal
275,school bus,vehicle,condiment,school buses are a type of vehicle,school buses are a type of condiment
276,school bus,vehicle,garden tool,school buses are a type of vehicle,school buses are a type of garden tool
277,plaster cast,medical equipment,candy,plaster casts are a type of medical equipment,plaster casts are a type of candy
278,plaster cast,medical equipment,school supply,plaster casts are a type of medical equipment,plaster casts are a type of school supply
279,plaster cast,medical equipment,accessory,plaster casts are a type of medical equipment,plaster casts are a type of accessory
280,plaster cast,medical equipment,musical instrument,plaster casts are a type of medical equipment,plaster casts are a type of musical instrument
281,recorder,musical instrument,game,recorders are a type of musical instrument,recorders are a type of game
282,recorder,musical instrument,animal,recorders are a type of musical instrument,recorders are a type of animal
283,recorder,musical instrument,toy,recorders are a type of musical instrument,recorders are a type of toy
284,recorder,musical instrument,electronic device,recorders are a type of musical instrument,recorders are a type of electronic device
285,blazer,clothing,women's clothing,blazers are a type of clothing,blazers are a type of women's clothes
286,blazer,clothing,plant,blazers are a type of clothing,blazers are a type of plant
287,blazer,clothing,sea animal,blazers are a type of clothing,blazers are a type of sea animal
288,blazer,clothing,weapon,blazers are a type of clothing,blazers are a type of weapon
289,blazer,outerwear,musical instrument,blazers are a type of outerwear,blazers are a type of musical instrument
290,blazer,outerwear,vehicle,blazers are a type of outerwear,blazers are a type of vehicle
291,blazer,outerwear,women's clothing,blazers are a type of outerwear,blazers are a type of women's clothes
292,blazer,outerwear,toiletry,blazers are a type of outerwear,blazers are a type of toiletry
293,cornucopia,home decor,livestock,cornucopias are a type of home decor,cornucopias are a type of livestock
294,cornucopia,home decor,candy,cornucopias are a type of home decor,cornucopias are a type of candy
295,cornucopia,home decor,condiment,cornucopias are a type of home decor,cornucopias are a type of condiment
296,cornucopia,home decor,plant,cornucopias are a type of home decor,cornucopias are a type of plant
297,footbath,container,fruit,footbaths are a type of container,footbaths are a type of fruit
298,footbath,container,accessory,footbaths are a type of container,footbaths are a type of accessory
299,footbath,container,furniture,footbaths are a type of container,footbaths are a type of furniture
300,footbath,container,school supply,footbaths are a type of container,footbaths are a type of school supply
301,lock,fastener,office supply,locks are a type of fastener,locks are a type of office supply
302,lock,fastener,food,locks are a type of fastener,locks are a type of food
303,lock,fastener,fruit,locks are a type of fastener,locks are a type of fruit
304,lock,fastener,women's clothing,locks are a type of fastener,locks are a type of women's clothes
305,lock,tool,candy,locks are a type of tool,locks are a type of candy
306,lock,tool,drink,locks are a type of tool,locks are a type of drink
307,lock,tool,outerwear,locks are a type of tool,locks are a type of outerwear
308,lock,tool,livestock,locks are a type of tool,locks are a type of livestock
309,iguana,animal,toiletry,iguanas are a type of animal,iguanas are a type of toiletry
310,iguana,animal,office supply,iguanas are a type of animal,iguanas are a type of office supply
311,iguana,animal,game,iguanas are a type of animal,iguanas are a type of game
312,iguana,animal,musical instrument,iguanas are a type of animal,iguanas are a type of musical instrument
313,grapefruit,fruit,accessory,grapefruits are a type of fruit,grapefruits are a type of accessory
314,grapefruit,fruit,electronic device,grapefruits are a type of fruit,grapefruits are a type of electronic device
315,grapefruit,fruit,footwear,grapefruits are a type of fruit,grapefruits are a type of footwear
316,grapefruit,fruit,game,grapefruits are a type of fruit,grapefruits are a type of game
317,grapefruit,food,musical instrument,grapefruits are a type of food,grapefruits are a type of musical instrument
318,grapefruit,food,footwear,grapefruits are a type of food,grapefruits are a type of footwear
319,grapefruit,food,protective clothing,grapefruits are a type of food,grapefruits are a type of protective clothing
320,grapefruit,food,livestock,grapefruits are a type of food,grapefruits are a type of livestock
321,jam,condiment,livestock,jams are a type of condiment,jams are a type of livestock
322,jam,condiment,insect,jams are a type of condiment,jams are a type of insect
323,jam,condiment,auto part,jams are a type of condiment,jams are a type of auto part
324,jam,condiment,vegetable,jams are a type of condiment,jams are a type of vegetable
325,jam,food,auto part,jams are a type of food,jams are a type of auto part
326,jam,food,home decor,jams are a type of food,jams are a type of home decor
327,jam,food,outerwear,jams are a type of food,jams are a type of outerwear
328,jam,food,women's clothing,jams are a type of food,jams are a type of women's clothes
329,axe,garden tool,auto part,axes are a type of garden tool,axes are a type of auto part
330,axe,garden tool,kitchen equipment,axes are a type of garden tool,axes are a type of kitchen equipment
331,axe,garden tool,mammal,axes are a type of garden tool,axes are a type of mammal
332,axe,garden tool,dessert,axes are a type of garden tool,axes are a type of dessert
333,axe,weapon,plant,axes are a type of weapon,axes are a type of plant
334,axe,weapon,furniture,axes are a type of weapon,axes are a type of furniture
335,axe,weapon,bird,axes are a type of weapon,axes are a type of bird
336,axe,weapon,school supply,axes are a type of weapon,axes are a type of school supply
337,axe,tool,protective clothing,axes are a type of tool,axes are a type of protective clothing
338,axe,tool,auto part,axes are a type of tool,axes are a type of auto part
339,axe,tool,drink,axes are a type of tool,axes are a type of drink
340,axe,tool,mammal,axes are a type of tool,axes are a type of mammal
341,hot-water bottle,container,livestock,hot-water bottles are a type of container,hot-water bottles are a type of livestock
342,hot-water bottle,container,mammal,hot-water bottles are a type of container,hot-water bottles are a type of mammal
343,hot-water bottle,container,sea animal,hot-water bottles are a type of container,hot-water bottles are a type of sea animal
344,hot-water bottle,container,plant,hot-water bottles are a type of container,hot-water bottles are a type of plant
345,rooster,animal,candy,roosters are a type of animal,roosters are a type of candy
346,rooster,animal,container,roosters are a type of animal,roosters are a type of container
347,rooster,animal,drink,roosters are a type of animal,roosters are a type of drink
348,rooster,animal,food,roosters are a type of animal,roosters are a type of food
349,rooster,livestock,candy,roosters are a type of livestock,roosters are a type of candy
350,rooster,livestock,vegetable,roosters are a type of livestock,roosters are a type of vegetable
351,rooster,livestock,jewelry,roosters are a type of livestock,roosters are a type of jewelry
352,rooster,livestock,clothing,roosters are a type of livestock,roosters are a type of clothing
353,rooster,bird,electronic device,roosters are a type of bird,roosters are a type of electronic device
354,rooster,bird,medical equipment,roosters are a type of bird,roosters are a type of medical equipment
355,rooster,bird,auto part,roosters are a type of bird,roosters are a type of auto part
356,rooster,bird,game,roosters are a type of bird,roosters are a type of game
357,license plate,auto part,office supply,license plates are a type of auto part,license plates are a type of office supply
358,license plate,auto part,accessory,license plates are a type of auto part,license plates are a type of accessory
359,license plate,auto part,livestock,license plates are a type of auto part,license plates are a type of livestock
360,license plate,auto part,mammal,license plates are a type of auto part,license plates are a type of mammal
361,praying mantis,insect,water vehicle,praying mantises are a type of insect,praying mantises are a type of water vehicle
362,praying mantis,insect,livestock,praying mantises are a type of insect,praying mantises are a type of livestock
363,praying mantis,insect,tool,praying mantises are a type of insect,praying mantises are a type of tool
364,praying mantis,insect,garden tool,praying mantises are a type of insect,praying mantises are a type of garden tool
365,praying mantis,animal,plant,praying mantises are a type of animal,praying mantises are a type of plant
366,praying mantis,animal,sea animal,praying mantises are a type of animal,praying mantises are a type of sea animal
367,praying mantis,animal,outerwear,praying mantises are a type of animal,praying mantises are a type of outerwear
368,praying mantis,animal,home decor,praying mantises are a type of animal,praying mantises are a type of home decor
369,creme brulee,dessert,clothing,creme brulee is a type of dessert,creme brulee is a type of clothing
370,creme brulee,dessert,tool,creme brulee is a type of dessert,creme brulee is a type of tool
371,creme brulee,dessert,bird,creme brulee is a type of dessert,creme brulee is a type of bird
372,creme brulee,dessert,auto part,creme brulee is a type of dessert,creme brulee is a type of auto part
373,creme brulee,food,protective clothing,creme brulee is a type of food,creme brulee is a type of protective clothing
374,creme brulee,food,candy,creme brulee is a type of food,creme brulee is a type of candy
375,creme brulee,food,medical equipment,creme brulee is a type of food,creme brulee is a type of medical equipment
376,creme brulee,food,animal,creme brulee is a type of food,creme brulee is a type of animal
