lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
cockpit,cockpit,cockpits,a cockpit,is a type of,,,s,
planter,planter,planters,a planter,are,,,p,
vegetable,vegetable,vegetables,a vegetable,are,vegetables are daxable.,vegetables have daxes.,p,
swimsuit,swimsuit,swimsuits,a swimsuit,are,swimsuits are daxable.,swimsuits have daxes.,p,
cooker,cooker,cookers,a cooker,are,cookers are daxable.,cookers have daxes.,p,
hoop,hoop,hoops,a hoop,are,,,p,
surface,surface,surfaces,a surface,is a type of,,,s,
bun,bun,buns,a bun,are,buns are daxable.,buns have daxes.,p,
partition,partition,partitions,a partition,are,,,p,
wine,wine,wines,a wine,are,wines are daxable.,wines have daxes.,p,
dog,dog,dogs,a dog,are,dogs are daxable.,dogs have daxes.,p,
toilet,toilet,toilets,a toilet,is a type of,,,s,
dishwasher,dishwasher,dishwashers,a dishwasher,are,dishwashers are daxable.,dishwashers have daxes.,p,
measuring instrument,measuring instrument,measuring instruments,a measuring instrument,are,,,p,
couch,couch,couches,a couch,are,couches are daxable.,couches have daxes.,p,
doll,doll,dolls,a doll,is,dolls are daxable.,dolls have daxes.,p,
burger,burger,burgers,a burger,are,,,p,
branch,branch,branches,a branch,are,,,p,
uniform,uniform,uniforms,a uniform,are,uniforms are daxable.,uniforms have daxes.,p,
water,water,water,water,is a type of,,,s,
football,football,footballs,a football,is a type of,,,s,
percussion instrument,percussion instrument,percurssion instruments,a percussion instrument,is,,,p,
frog,frog,frogs,a frog,are,frogs are daxable.,frogs have daxes.,p,
frisbee,frisbee,frisbees,a frisbee,are,frisbees are daxable.,frisbees have daxes.,p,
device,device,devices,a device,are a type of,devices are daxable.,devices have daxes.,p,
basket,basket,baskets,a basket,are a type of,baskets are daxable.,baskets have daxes.,p,
motor vehicle,motor vehicle,motor vehicles,motor vehicles,are a type of,,,p,
crown,crown,crowns,a crown,are a type of,crowns are daxable.,crowns have daxes.,p,
sausage,sausage,sausages,a sausage,are a type of,sausages are daxable.,sausages have daxes.,p,
highway,highway,highways,a highway,are a type of,,,p,
food,food,foods,food,is a type of,food is daxable.,food has daxes.,s,
aircraft,aircraft,aircrafts,an aircraft,is a type of,,,s,
lamb,lamb,lambs,a lamb,are a type of,lambs are daxable.,lambs have daxes.,p,
toothbrush,toothbrush,toothbrushes,a toothbrush,are a type of,toothbrushes are daxable.,toothbrushes have daxes.,p,
oven,oven,ovens,an oven,are a type of,ovens are daxable.,ovens have daxes.,p,
jewelry,jewelry,jewelries,jewelry,is a type of,jewelry is daxable.,jewelry has daxes.,s,
girl,girl,girls,a girl,is,,,s,
woody plant,woody plant,woody plants,a woody plant,are a type of,,,p,
suit,suit,suits,a suit,are a type of,suits are daxable.,suits have daxes.,p,
cat,cat,cats,a cat,are a type of,cats are daxable.,cats have daxes.,p,
hand tool,hand tool,hand tools,a hand tool,are a type of,,,p,
stadium,stadium,stadiums,a stadium,are a type of,,,p,
motorcycle,motorcycle,motorcycles,a motorcycle,are a type of,motorcycles are daxable.,motorcycles have daxes.,p,
computer,computer,computers,a computer,are a type of,computers are daxable.,computers have daxes.,p,
pilot,pilot,pilots,a pilot,is,,,s,
bus,bus,buses,a bus,are a type of,buses are daxable.,buses have daxes.,p,
jersey,jersey,jerseys,a jersey,are a type of,jerseys are daxable.,jerseys have daxes.,p,
animal skin,animal skin,animal skins,animal skin,is a type of,,,s,
source of illumination,source of illumination,sources of illumination,a source of illumination,is a type of,,,s,
kitchen utensil,kitchen utensil,kitchen utensils,a kitchen utensil,are a type of,,,p,
tissue,tissue,tissues,a tissue,are a type of,,,p,
cattle,cattle,cattle,cattle,are a type of,,,p,
skateboard,skateboard,skateboards,a skateboard,are a type of,skateboards are daxable.,skateboards have daxes.,p,
candle,candle,candles,a candle,are a type of,candles are daxable.,candles have daxes.,p,
building,building,buildings,a building,are a type of,,,p,
keyboard,keyboard,keyboards,a keyboard,are a type of,keyboards are daxable.,keyboards have daxes.,p,
blouse,blouse,blouses,a blouse,are a type of,blouses are daxable.,blouses have daxes.,p,
headgear,headgear,headgear,headgear,is a type of,,,s,
boy,boy,boys,a boy,is,,,s,
bench,bench,benches,a bench,are a type of,benches are daxable.,benches have daxes.,p,
wheeled vehicle,wheeled vehicle,wheeled vehicles,a wheeled vehicle,are a type of,,,p,
beer,beer,beers,beer,is a type of,beer is daxable.,beer has daxes.,s,
placemat,placemat,placemats,a placemat,are a type of,,,p,
band,band,bands,a band,is a type of,,,s,
saucer,saucer,saucers,a saucer,is a type of,,,s,
tractor,tractor,tractors,a tractor,are a type of,tractors are daxable.,tractors have daxes.,p,
furniture,furniture,furniture,furniture,is a type of,furniture is daxable.,furniture has daxes.,s,
pot,pot,pots,a pot,are a type of,pots are daxable.,pots have daxes.,p,
broccoli,broccoli,broccolis,broccoli,is a type of,broccoli is daxable.,broccoli has daxes.,s,
bat,bat,bats,a bat,are a type of,bats are daxable.,bats have daxes.,p,
bedding,bedding,bedding,bedding,is a type of,,,s,
bunny,bunny,bunnies,a bunny,are a type of,,,p,
lake,lake,lakes,a lake,are a type of,,,p,
cup,cup,cups,a cup,are a type of,cups are daxable.,cups have daxes.,p,
camera,camera,cameras,a camera,are a type of,cameras are daxable.,cameras have daxes.,p,
electrical device,electrical device,electrical devices,an electrical device,are a type of,,,p,
salad green,salad green,salad greens,salad greens,are a type of,,,p,
parrot,parrot,parrots,a parrot,are a type of,parrots are daxable.,parrots have daxes.,p,
box,box,boxes,a box,are a type of,boxes are daxable.,boxes have daxes.,p,
lid,lid,lids,a lid,are a type of,,,p,
rider,rider,riders,a rider,is,,,s,
driver,driver,drivers,a driver,are a type of,,,p,
pan,pan,pans,a pan,are a type of,pans are daxable.,pans have daxes.,p,
ship,ship,ships,a ship,are a type of,ships are daxable.,ships have daxes.,p,
stringed instrument,stringed instrument,stringed instruments,stringed instruments,are a type of,,,p,
succulent,succulent,succulents,a succulent,are a type of,,,p,
dress,dress,dresses,a dress,are a type of,dresses are daxable.,dresses have daxes.,p,
weapon,weapon,weapons,a weapon,are a type of,weapons are daxable.,weapons have daxes.,p,
eagle,eagle,eagles,an eagle,are a type of,eagles are daxable.,eagles have daxes.,p,
river,river,rivers,a river,is,,,s,
beard,beard,beards,a beard,are a type of,,,p,
truck,truck,trucks,a truck,are a type of,trucks are daxable.,trucks have daxes.,p,
juice,juice,juices,a juice,are a type of,juices are daxable.,juices have daxes.,p,
banana,banana,bananas,a banana,are a type of,bananas are daxable.,bananas have daxes.,p,
doorway,doorway,doorways,a doorway,are a type of,,,p,
pen,pen,pens,a pen,are a type of,pens are daxable.,pens have daxes.,p,
dish,dish,dishes,a dish,are a type of,,,p,
farmer,farmer,farmers,a farmer,is,,,s,
pasture,pasture,pastures,pastures,are a type of,,,p,
pastry,pastry,pastries,a pastry,are a type of,pastries are daxable.,pastries have daxes.,p,
ginger,ginger,gingers,ginger,is a type of,ginger is daxable.,ginger has daxes.,s,
club,club,clubs,a club,are a type of,,,p,
horizontal surface,horizontal surface,horizontal surfaces,a horizontal surface,are a type of,,,p,
spice,spice,spices,spices,are a type of,,,p,
personal computer,personal computer,personal computers,personal computers,are a type of,,,p,
fish,fish,fishes,a fish,are a type of,fish are daxable.,fish have daxes.,p,
sheep,sheep,sheeps,a sheep,are a type of,sheeps are daxable.,sheeps have daxes.,p,
path,path,paths,a path,is a type of,,,s,
audience,audience,audience,an audience,is a type of,,,s,
train,train,trains,a train,are a type of,trains are daxable.,trains have daxes.,p,
liquor,liquor,liquor,liquor,is a type of,,,s,
ocean,ocean,oceans,an ocean,is,,,s,
bug,bug,bugs,a bug,are a type of,bugs are daxable.,bugs have daxes.,p,
sidewalk,sidewalk,sidewalks,a sidewalk,are a type of,,,p,
woman's clothing,women's clothing,women's clothing,women's clothing,is a type of,,,s,
floor,floor,floors,a floor,are a type of,,,p,
table linen,table linen,table linen,table linen,is a type of,,,s,
baggage,baggage,baggages,a baggage,are a type of,,,p,
passenger,passenger,passengers,a passenger,are a type of,,,p,
pond,pond,ponds,a pond,is,,,s,
room,room,rooms,a room,are a type of,,,p,
athlete,athlete,athletes,an athelete,is,,,s,
sea,sea,seas,a sea,is,,,s,
body of water,body of water,bodies of water,a body of water,is,,,s,
seat,seat,seats,a seat,is a type of,,,s,
pouch,pouch,pouches,a pouch,are a type of,,,p,
urinal,urinal,urinals,a urinal,are a type of,,,p,
carrot,carrot,carrots,a carrot,are a type of,carrots are daxable.,carrots have daxes.,p,
snowboarder,snowboarder,snowboarders,a snowboarder,is,,,s,
microphone,microphone,microphones,a microphone,are a type of,microphones are daxable.,microphones have daxes.,p,
radio,radio,radios,a radio,are a type of,radios are daxable.,radios have daxes.,p,
tool,tool,tools,a tool,are a type of,tools are daxable.,tools have daxes.,p,
bed,bed,beds,a bed,are a type of,beds are daxable.,beds have daxes.,p,
bedroom,bedroom,bedrooms,a bedroom,are a type of,,,p,
covering,covering,coverings,a covering,are a type of,coverings are daxable.,coverings have daxes.,p,
kitchen appliance,kitchen appliance,kitchen appliances,a kitchen appliance,are a type of,,,p,
kangaroo,kangaroo,kangaroos,a kangaroo,are a type of,kangaroos are daxable.,kangaroos have daxes.,p,
people,people,people,a person,is,,,s,
vase,vase,vases,a vase,are a type of,vases are daxable.,vases have daxes.,p,
goat,goat,goats,a goat,are a type of,goats are daxable.,goats have daxes.,p,
sheet,sheet,sheets,a sheet,are a type of,,,p,
store,store,stores,a store,are a type of,,,p,
passage,passage,passages,a passage,are a type of,,,p,
sports equipment,sports equipment,sports equipment,sports equipment,are a type of,,,p,
phone,phone,phones,a phone,are a type of,,,p,
racket,racket,rackets,a racket,are a type of,,,p,
stick,stick,sticks,a stick,are a type of,,,p,
fodder,fodder,fodder,fodder,is a type of,,,s,
milk,milk,milks,milk,is a type of,milk is daxable.,milk has daxes.,s,
writing device,writing device,writing devices,a writing device,are a type of,,,p,
facility,facility,facilities,a facility,are a type of,,,p,
bracelet,bracelet,bracelets,a bracelet,are a type of,bracelets are daxable.,bracelets have daxes.,p,
shirt,shirt,shirts,a shirt,are a type of,shirts are daxable.,shirts have daxes.,p,
surfer,surfer,surfers,a surfer,is,,,s,
bread,bread,breads,bread,is a type of,bread is daxable.,bread has daxes.,s,
sink,sink,sinks,a sink,are a type of,,,p,
beverage,beverage,beverages,a beverage,are a type of,,,p,
trash,trash,trash,trash,is a type of,,,s,
canine,canine,canines,a canine,are a type of,,,p,
bottle,bottle,bottles,a bottle,are a type of,bottles are daxable.,bottles have daxes.,p,
refrigerator,refrigerator,refrigerators,a refrigerator,are a type of,refrigerators are daxable.,refrigerators have daxes.,p,
cheese,cheese,cheeses,a cheese,are a type of,cheeses are daxable.,cheeses have daxes.,p,
cabinet,cabinet,cabinets,a cabinet,are a type of,cabinets are daxable.,cabinets have daxes.,p,
chair,chair,chairs,a chair,are a type of,chairs are daxable.,chairs have daxes.,p,
dumpster,dumpster,dumpsters,a dumpster,are a type of,dumpsters are daxable.,dumpsters have daxes.,p,
zebra,zebra,zebras,a zebra,are a type of,zebras are daxable.,zebras have daxes.,p,
sofa,sofa,sofas,a sofa,are a type of,,,p,
picture,picture,pictures,a picture,are a type of,,,p,
establishment,establishment,establishments,an establishment,are a type of,,,p,
bike,bike,bikes,a bike,are a type of,bikes are daxable.,bikes have daxes.,p,
platform,platform,platforms,a platform,are a type of,,,p,
baked good,baked good,baked goods,baked goods,are a type of,,,p,
cyclist,cyclist,cyclists,a cyclist,is,,,s,
heater,heater,heaters,a heater,are a type of,,,p,
cap,cap,caps,a cap,are a type of,,,p,
guitar,guitar,guitars,a guitar,are a type of,guitars are daxable.,guitars have daxes.,p,
flatware,flatware,flatware,flatware,is a type of,,,s,
tower,tower,towers,a tower,are a type of,,,p,
wool,wool,wool,wool,is a type of,,,s,
vertebrate,vertebrate,vertebrates,a vertebrate,are a type of,vertebrates are daxable.,vertebrates have daxes.,p,
bathtub,bathtub,bathtubs,a bathtub,are a type of,bathtubs are daxable.,bathtubs have daxes.,p,
curtain,curtain,curtains,a curtain,are a type of,curtains are daxable.,curtains have daxes.,p,
ring,ring,rings,a ring,is a type of,rings are daxable.,rings have daxes.,p,
notebook,notebook,notebooks,a notebook,are,notebooks are daxable.,notebooks have daxes.,p,
garment,garment,garments,garments,are a type of,,,p,
apple,apple,apples,an apple,are a type of,apples are daxable.,apples have daxes.,p,
breakfast food,breakfast food,breakfast food,breakfast food,is a type of,,,s,
fence,fence,fences,a fence,are a type of,,,p,
soap,soap,soaps,a soap,are a type of,soaps are daxable.,soaps have daxes.,p,
policeman,policeman,policemen,a policeman,is,,,s,
scooter,scooter,scooters,a scooter,are a type of,scooters are daxable.,scooters have daxes.,p,
card,card,cards,a card,are a type of,,,p,
tire,tire,tires,a tire,are a type of,,,p,
protective covering,protective covering,protective coverings,a protective covering,is a type of,,,s,
art,art,art,art,is a type of,,,s,
baseball equipment,baseball equipment,baseball equipment,baseball equipment,are a type of,,,p,
traveler,traveler,travelers,a traveler,is,,,s,
paddle,paddle,paddles,a paddle,are a type of,,,p,
graffiti,graffiti,graffiti,graffiti,is a type of,,,s,
bell,bell,bells,a bell,are a type of,bells are daxable.,bells have daxes.,p,
fan,fan,fans,a fan,are a type of,fans are daxable.,fans have daxes.,p,
dairy product,dairy product,dairy products,dairy products,are a type of,,,p,
couple,couple,couples,a couple,is,,,s,
zoo,zoo,zoo,zoo,is,,,s,
grassland,grassland,grasslands,grasslands,are a type of,,,p,
monitor,monitor,monitors,a monitor,are a type of,,,p,
electronic device,electronic device,electronic devices,an electronic device,are a type of,electronic devices are daxable.,electronic devices have daxes.,p,
towel,towel,towels,a towel,are a type of,,,p,
bathroom,bathroom,bathrooms,a bathroom,is a type of,,,s,
animal,animal,animals,an animal,are a type of,animals are daxable.,animals have daxes.,p,
decoration,decoration,decorations,a decoration,are a type of,decorations are daxable.,decorations have daxes.,p,
fireplace,fireplace,fireplaces,a fireplace,are a type of,,,p,
wok,wok,woks,a wok,are a type of,woks are daxable.,woks have daxes.,p,
robe,robe,robes,a robe,are a type of,robes are daxable.,robes have daxes.,p,
wetsuit,wetsuit,wetsuits,a wetsuit,are a type of,wetsuits are daxable.,wetsuits have daxes.,p,
sheet metal,sheet metal,sheet metals,sheet metal,is a type of,,,s,
snowboard,snowboard,snowboards,a snowboard,are a type of,,,p,
ketchup,ketchup,ketchups,ketchup,is a type of,ketchup is daxable.,ketchup has daxes.,s,
burner,burner,burners,a burner,are a type of,burners are daxable.,burners have daxes.,p,
suitcase,suitcase,suitcases,a suitcase,are a type of,suitcases are daxable.,suitcases have daxes.,p,
piano,piano,pianos,a piano,are a type of,pianos are daxable.,pianos have daxes.,p,
person,person,people,a person,is,,,s,
luggage,luggage,luggages,luggage,is a type of,luggage is daxable.,luggage has daxes.,s,
rabbit,rabbit,rabbits,a rabbit,are a type of,rabbits are daxable.,rabbits have daxes.,p,
sword,sword,swords,a sword,are a type of,swords are daxable.,swords have daxes.,p,
cactus,cactus,cactii,a cactus,is a type of,a cactus is daxable.,a cactus has daxes.,s,
musical instrument,musical instrument,musical instruments,a musical instrument,are a type of,musical instruments are daxable.,musical instruments have daxes.,p,
mask,mask,masks,a mask,are a type of,,,p,
orange,orange,oranges,an orange,are a type of,oranges are daxable.,oranges have daxes.,p,
crowd,crowd,crowds,a crowd,is a type of,,,s,
backpack,backpack,backpacks,a backpack,are a type of,backpacks are daxable.,backpacks have daxes.,p,
boat,boat,boats,a boat,are a type of,boats are daxable.,boats have daxes.,p,
drawer,drawer,drawers,a drawer,are a type of,drawers are daxable.,drawers have daxes.,p,
umpire,umpire,umpires,an umpire,is,,,s,
gravel,gravel,gravel,gravel,is a type of,,,s,
pipe,pipe,pipes,a pipe,are a type of,pipes are daxable.,pipes have daxes.,p,
pole,pole,poles,a pole,is a type of,,,s,
spatula,spatula,spatulas,a spatula,are a type of,spatulas are daxable.,spatulas have daxes.,p,
purse,purse,purses,a purse,are a type of,purses are daxable.,purses have daxes.,p,
cake,cake,cakes,cake,are a type of,cakes are daxable.,cakes have daxes.,p,
child,child,children,a child,is a type of,,,s,
group,group,groups,a group,is,,,s,
cow,cow,cows,a cow,are a type of,cows are daxable.,cows have daxes.,p,
vessel,vessel,vessels,vessels,are a type of,,,p,
countertop,countertop,countertops,a countertop,are a type of,,,p,
hay,hay,hay,hay,is a type of,,,s,
liquid,liquid,liquids,liquids,are a type of,,,p,
coat,coat,coats,a coat,are a type of,coats are daxable.,coats have daxes.,p,
condiment,condiment,condiments,a condiment,are a type of,condiments are daxable.,condiments have daxes.,p,
sandwich,sandwich,sandwiches,a sandwich,are a type of,sandwiches are daxable.,sandwiches have daxes.,p,
glaze,glaze,glazes,glaze,is a type of,,,s,
clock,clock,clocks,a clock,are a type of,,,p,
walk,walk,walks,a walk,are a type of,,,p,
vehicle,vehicle,vehicles,a vehicle,are a type of,vehicles are daxable.,vehicles have daxes.,p,
dispenser,dispenser,dispensers,a dispenser,are a type of,,,p,
bouquet,bouquet,bouquets,a bouquet,are a type of,,,p,
collar,collar,collars,collars,are a type of,,,p,
shelf,shelf,shelves,a shelf,are a type of,shelves are daxable.,shelves have daxes.,p,
gathering,gathering,gatherings,a gathering,is a type of,,,s,
utensil,utensil,utensils,a utensil,are a type of,,,p,
bull,bull,bulls,a bull,are a type of,bulls are daxable.,bulls have daxes.,p,
crosswalk,crosswalk,crosswalks,a crosswalk,are a type of,,,p,
drum,drum,drums,a drum,are a type of,drums are daxable.,drums have daxes.,p,
fluid,fluid,fluids,a fluid,are a type of,,,p,
aquatic bird,aquatic bird,aquatic birds,an aquatic bird,are a type of,,,p,
stove,stove,stoves,a stove,are a type of,stoves are daxable.,stoves have daxes.,p,
mammal,mammal,mammals,a mammal,are a type of,mammals are daxable.,mammals have daxes.,p,
ornament,ornament,ornaments,an ornament,are a type of,,,p,
bowl,bowl,bowls,a bowl,are a type of,bowls are daxable.,bowls have daxes.,p,
plant,plant,plants,a plant,are a type of,plants are daxable.,plants have daxes.,p,
hair,hair,hair,hair,is a type of,,,s,
small boat,small boat,small boats,a small boat,are a type of,,,p,
book,book,books,a book,are a type of,books are daxable.,books have daxes.,p,
patio,patio,patios,a patio,are a type of,,,p,
airport,airport,airports,an airport,are a type of,,,p,
jeep,jeep,jeeps,a jeep,are a type of,jeeps are daxable.,jeeps have daxes.,p,
newspaper,newspaper,newspapers,a newpaper,are a type of,,,p,
earring,earring,earrings,an earring,are a type of,earrings are daxable.,earrings have daxes.,p,
home appliance,home appliance,home appliances,a home appliance,are a type of,home appliances are daxable.,home appliances have daxes.,p,
carriage,carriage,carriages,a carriage,are a type of,carriages are daxable.,carriages have daxes.,p,
toiletry,toiletry,toiletries,a toiletry,are a type of,toiletries are daxable.,toiletries have daxes.,p,
official,official,officials,an official,is,,,s,
helmet,helmet,helmets,a helmet,are a type of,helmets are daxable.,helmets have daxes.,p,
sweatshirt,sweatshirt,sweatshirts,a sweatshirt,are a type of,,,p,
skier,skier,skiers,a skier,is,,,s,
antenna,antenna,antennae,an antenna,is a type of,,,s,
soup,soup,soups,a soup,are a type of,soups are daxable.,soups have daxes.,p,
shelter,shelter,shelters,a shelter,are a type of,,,p,
corridor,corridor,corridors,a corridor,is a type of,,,s,
jacket,jacket,jackets,a jacket,are a type of,jackets are daxable.,jackets have daxes.,p,
clothing,clothing,clothing,clothing,is a type of,clothing is daxable.,clothing has daxes.,s,
sauce,sauce,sauces,a sauce,are a type of,sauces are daxable.,sauces have daxes.,p,
table,table,tables,a table,are a type of,tables are daxable.,tables have daxes.,p,
cabin,cabin,cabins,a cabin,is a type of,,,s,
access,access,accesses,access,are a type of,,,p,
absorbent material,absorbent material,absorbent materials,an absorbent material,are a type of,,,p,
receipt,receipt,receipts,a receipt,are a type of,,,p,
laptop,laptop,laptops,a laptop,are a type of,laptops are daxable.,laptops have daxes.,p,
man,man,men,a man,is,,,s,
vest,vest,vests,a vest,are a type of,vests are daxable.,vests have daxes.,p,
acoustic device,acoustic device,acoustic devices,an acoustic device,are a type of,,,p,
blender,blender,blenders,a blender,are a type of,blenders are daxable.,blenders have daxes.,p,
foil,foil,foils,a foil,is a type of,,,s,
sweater,sweater,sweaters,a sweater,are a type of,sweaters are daxable.,sweaters have daxes.,p,
chicken,chicken,chickens,a chicken,is a type of,a chicken is daxable.,a chicken has daxes.,s,
counter,counter,counters,a counter,are a type of,counters are daxable.,counters have daxes.,p,
kettle,kettle,kettles,a kettle,are a type of,kettles are daxable.,kettles have daxes.,p,
apron,apron,aprons,an apron,are a type of,aprons are daxable.,aprons have daxes.,p,
tent,tent,tents,a tent,are a type of,tents are daxable.,tents have daxes.,p,
kitten,kitten,kittens,a kitten,are a type of,kittens are daxable.,kittens have daxes.,p,
kitchen,kitchen,kitchens,a kitchen,is a type of,,,s,
champagne,champagne,champagnes,champagne,is a type of,champagne is daxable.,champagne has daxes.,s,
paved surface,paved surface,paved surfaces,a paved surface,are a type of,,,p,
boot,boot,boots,a boot,are a type of,boots are daxable.,boots have daxes.,p,
headband,headband,headbands,a headband,are a type of,headbands are daxable.,headbands have daxes.,p,
bucket,bucket,buckets,a bucket,are a type of,buckets are daxable.,buckets have daxes.,p,
linen,linen,linen,linen,is a type of,,,s,
seagull,seagull,seagulls,a seagull,are a type of,seagulls are daxable.,seagulls have daxes.,p,
tie,tie,ties,a tie,are a type of,ties are daxable.,ties have daxes.,p,
sign,sign,signs,a sign,is a type of,,,s,
appliance,appliance,appliances,an appliance,are a type of,,,p,
elephant,elephant,elephants,an elephant,are a type of,elephants are daxable.,elephants have daxes.,p,
hallway,hallway,hallways,a hallway,is a type of,,,s,
napkin,napkin,napkins,a napkin,are a type of,,,p,
flower arrangement,flower arrangement,flower arrangements,a flower arrangement,are a type of,,,p,
tea,tea,teas,tea,is a type of,tea is daxable.,tea has daxes.,s,
sand,sand,sand,sand,is a type of,,,s,
jet,jet,jets,a jet,are a type of,jets are daxable.,jets have daxes.,p,
tablecloth,tablecloth,tablecloths,a tablecloth,is a type of,,,s,
area,area,areas,an area,is a type of,,,s,
rock,rock,rocks,a rock,is a type of,,,s,
notepad,notepad,notepads,a notepad,are a type of,notepads are daxable.,notepads have daxes.,p,
fur,fur,fur,fur,is a type of,,,s,
wall,wall,walls,a wall,are a type of,,,p,
rod,rod,rods,a rod,is a type of,,,s,
bridge,bridge,bridges,a bridge,is a type of,,,s,
donkey,donkey,donkeys,a donkey,are a type of,donkeys are daxable.,donkeys have daxes.,p,
sports equipment,sports equipment,sports equipment,sports equipment,are a type of,,,p,
bush,bush,bushes,a bush,are a type of,bushes are daxable.,bushes have daxes.,p,
bookshelf,bookshelf,bookshelves,a bookshelf,are a type of,bookshelves are daxable.,bookshelves have daxes.,p,
lamp,lamp,lamps,a lamp,are a type of,lamps are daxable.,lamps have daxes.,p,
tray,tray,trays,a tray,is a type of,,,s,
locomotive,locomotive,locomotives,a locomotive,are a type of,,,p,
toy,toy,toys,a toy,are a type of,toys are daxable.,toys have daxes.,p,
invertebrate,invertebrate,invertebrates,an invertebrate,are a type of,,,p,
bedroom furniture,bedroom furniture,bedroom furniture,bedroom furniture,is a type of,,,s,
enclosure,enclosure,enclosures,an enclosure,is a type of,,,s,
adult,adult,adults,an adult,is,,,s,
equipment,equipment,equipment,equipment,is a type of,equipment is daxable.,equipment has daxes.,s,
feed,feed,feed,a feed,is a type of,,,s,
pitcher,pitcher,pitchers,a pitcher,are a type of,pitchers are daxable.,pitchers have daxes.,p,
van,van,vans,a van,are a type of,vans are daxable.,vans have daxes.,p,
hose,hose,hoses,a hose,are a type of,hoses are daxable.,hoses have daxes.,p,
barrier,barrier,barriers,a barrier,is a type of,,,s,
alcohol,alcohol,alcohol,alcohol,is a type of,,,s,
donut,donut,donuts,a donut,are a type of,donuts are daxable.,donuts have daxes.,p,
house,house,houses,a house,are a type of,,,p,
bicycle,bicycle,bicycles,a bicycle,is a type of,,,s,
guy,guy,guys,a guy,is,,,s,
flower,flower,flowers,a flower,are a type of,flowers are daxable.,flowers have daxes.,p,
feline,feline,felines,a feline,are a type of,,,p,
stalk,stalk,stalks,a stalk,are a type of,,,p,
package,package,packages,a package,is a type of,,,s,
magnet,magnet,magnets,a magnet,are a type of,,,p,
amphibian,amphibian,amphibians,an amphibian,are a type of,,,p,
paper,paper,papers,paper,is a type of,paper is daxable.,paper has daxes.,s,
glass,glass,glasses,a glass,are a type of,glasses are daxable.,glasses have daxes.,p,
skateboarder,skateboarder,skateboarders,a skateboarder,is,,,s,
artwork,artwork,artworks,an artwork,is a type of,,,s,
game,game,games,a game,are a type of,games are daxable.,games have daxes.,p,
writing tool,writing tool,writing tools,a writing tool,is a type of,,,s,
receptacle,receptacle,receptacles,a receptacle,is a type of,,,s,
glove,glove,gloves,a glove,are a type of,gloves are daxable.,gloves have daxes.,p,
bird,bird,birds,a bird,are a type of,birds are daxable.,birds have daxes.,p,
way,way,ways,a way,is a type of,,,s,
bedspread,bedspread,bedspreads,a bedspread,are a type of,,,p,
sponge,sponge,sponges,a sponge,is a type of,,,s,
cutlery,cutlery,cutlery,cutlery,are a type of,,,p,
tube,tube,tubes,a tube,are a type of,,,p,
biker,biker,bikers,a biker,is,,,s,
puddle,puddle,puddles,a puddle,is,,,s,
